1438, 3900 JASMINE DR, MEMPHIS, TN, 
1439, 400 S HOLLYWOOD, MEMPHIS, TN, 
1440, 4200 FARONIA RD, MEMPHIS, TN, 
1441, 4400 STAGE, MEMPHIS, TN, 
1442, 4600 MILLSTREAM, MEMPHIS, TN, 
1443, 500 S GERMANTOWN PKWY, MEMPHIS, TN, 
1444, 5300 SHELBOURNE CIRCLE, MEMPHIS, TN, 
1445, 5300 WINCHESTER, MEMPHIS, TN, 
1446, 6300 POPLAR, MEMPHIS, TN, 
1447, 700 WALKER, MEMPHIS, TN, 
1448, 7100 RIVERDALE BEND, MEMPHIS, TN, 
1449, 100 NORTH MAIN, MEMPHIS, TN, 
1450, 1000 FRAYSER, MEMPHIS, TN, 
1451, 1200 JAMES, MEMPHIS, TN, 
1452, 1500 BOXWOOD, MEMPHIS, TN, 
1453, 1500 S TREZEVANT ST, MEMPHIS, TN, 
1454, 1600 NETHERWOOD, MEMPHIS, TN, 
1455, 200 MONROE, MEMPHIS, TN, 
1456, 2200 CLAYTON, MEMPHIS, TN, 
1457, 2400 PARK AVE, MEMPHIS, TN, 
1458, 2500 LAMAR, MEMPHIS, TN, 
1459, 2900 GETWELL, MEMPHIS, TN, 
1460, 2900 NATHAN, MEMPHIS, TN, 
1461, 300 N MANASSAS, MEMPHIS, TN, 
1462, 3100 KIRBY PKWY, MEMPHIS, TN, 
1463, 3500 BOWEN, MEMPHIS, TN, 
1464, 3600 HICKY, MEMPHIS, TN, 
1465, 4000 RIDGEWAY, MEMPHIS, TN, 
1466, 4200 TARRYWOOD, MEMPHIS, TN, 
1467, 4900 POPLAR, MEMPHIS, TN, 
1468, 7000 WINCHESTER RD, MEMPHIS, TN, 
1469, 7700 POLO GROUNDS BLVD, MEMPHIS, TN, 
1470, BEALE AND FOURTH, MEMPHIS, TN, 
1471, POPLAR AND HIGHLAND, MEMPHIS, TN, 
1472, 1300 SNOWDEN, MEMPHIS, TN, 
1473, 1800 E HOLMES, MEMPHIS, TN, 
1474, 200 N MERTON, MEMPHIS, TN, 
1475, 2100 E BROOKS, MEMPHIS, TN, 
1476, 2200 WESTCHESTER DR, MEMPHIS, TN, 
1477, 2300 HUNTER, MEMPHIS, TN, 
1478, 2600 HAWKINS MILL, MEMPHIS, TN, 
1479, 2600 KETCHUM RD, MEMPHIS, TN, 
1480, 2700 JAMES, MEMPHIS, TN, 
1481, 2900 POPLAR AVE, MEMPHIS, TN, 
1482, 3200 MT OLIVE, MEMPHIS, TN, 
1483, 3200 PERKINS, MEMPHIS, TN, 
1484, 3300 GUERNSEY, MEMPHIS, TN, 
1485, 3300 W DANVILLE CIR, MEMPHIS, TN, 
1486, 3400 DAWN DR, MEMPHIS, TN, 
1487, 3400 SOUTH THIRD, MEMPHIS, TN, 
1488, 3500 WILD RYE LN, MEMPHIS, TN, 
1489, 3600 FAXON, MEMPHIS, TN, 
1490, 3800 LAMAR, MEMPHIS, TN, 
1491, 4000 WINCHESTER, MEMPHIS, TN, 
1492, 4200 AUBURN, MEMPHIS, TN, 
1493, 4700 MILLBRANCH, MEMPHIS, TN, 
