160398, MT MORIAH ROAD AND KIRBY ROAD, MEMPHIS, TN, 
160399, MT MORIAH TERRANCE AND MT MORIAH, MEMPHIS, TN, 
160400, MT MORIAH TRAIL AND MT MORIAH PKWY, MEMPHIS, TN, 
160401, MT MORIAH-CLARK, MEMPHIS, TN, 
160402, MT MORIAH/I/240, MEMPHIS, TN, 
160403, MT MORIAH/RIDGEWAY, MEMPHIS, TN, 
160404, MT OLIVE AND ASHE, MEMPHIS, TN, 
160405, MT OLIVE AND HOLMES RD, MEMPHIS, TN, 
160406, MT OLIVE AND LOCUST ST, MEMPHIS, TN, 
160407, MT OLIVE AND ORR ST, MEMPHIS, TN, 
160408, MT OLIVE AND SIDNEY, MEMPHIS, TN, 
160409, MT OLIVE AND WARRFORD, MEMPHIS, TN, 
160410, MT OLIVE RD AND LOCUST ST, MEMPHIS, TN, 
160411, MT OLIVE RD AND WILLIS ST, MEMPHIS, TN, 
160412, MT OLIVER AND CHELSEA, MEMPHIS, TN, 
160413, MT PISGAH AND FIELDS, MEMPHIS, TN, 
160414, MT PISGAH RD AND WEAVER RD, MEMPHIS, TN, 
160415, MT TERANCE AND FRAYSER BLVD, MEMPHIS, TN, 
160416, MT TERRACE & REDVERS, MEMPHIS, TN, 
160417, MT TERRACE AND BETHLEHAM, MEMPHIS, TN, 
160418, MT TERRACE AND BOUNTY, MEMPHIS, TN, 
