144311, BEALE ST AND 2ND, MEMPHIS, TN, 
144312, BEALE ST AND 4TH, MEMPHIS, TN, 
144313, BEALE ST AND B B KING BLVD, MEMPHIS, TN, 
144314, BEALE ST AND DANNY THOMAS AVE, MEMPHIS, TN, 
144315, BEALE ST AND FOUR ST, MEMPHIS, TN, 
144316, BEALE ST AND FOURTH AVE, MEMPHIS, TN, 
144317, BEALE ST AND FOURTH RD, MEMPHIS, TN, 
144318, BEALE ST AND FRONT AVE, MEMPHIS, TN, 
144319, BEALE ST AND GWLEE, MEMPHIS, TN, 
144320, BEALE ST AND LT GEORGE W LEE, MEMPHIS, TN, 
144321, BEALE ST AND MAIN, MEMPHIS, TN, 
144322, BEALE ST AND MYRTLE ST, MEMPHIS, TN, 
144323, BEALE ST AND NOVEMBER 6TH ST, MEMPHIS, TN, 
144324, BEALE ST AND NOVEMBER SIXTH ALLEY, MEMPHIS, TN, 
144325, BEALE ST AND NOVEMBER ST, MEMPHIS, TN, 
144326, BEALE ST AND ORLEANS DR, MEMPHIS, TN, 
144327, BEALE ST AND ORLEANS, MEMPHIS, TN, 
144328, BEALE ST AND S FOURTH, MEMPHIS, TN, 
144329, BEALE ST AND S MAIN, MEMPHIS, TN, 
144330, BEALE ST AND SMAIN ST, MEMPHIS, TN, 
144331, BEALE ST AND SOUTH BB KING BOULEVARD, MEMPHIS, TN, 
144332, BEALE ST AND SOUTH MAIN AVE, MEMPHIS, TN, 
144333, BEALE ST AND SOUTH MAIN ST, MEMPHIS, TN, 
144334, BEALE ST AND SOUTH MAIN, MEMPHIS, TN, 
144335, BEALE ST AND SOUTH ORLEANS ST, MEMPHIS, TN, 
144336, BEALE ST AND STHIRD ST, MEMPHIS, TN, 
144337, BEALE ST AND THIRD AVE, MEMPHIS, TN, 
144338, BEALE ST AND THOMAS ST, MEMPHIS, TN, 
144339, BEALE ST AND VANCE AVE, MEMPHIS, TN, 
144340, BEALE ST AND WAGNER PL, MEMPHIS, TN, 
144341, BEALE ST AND WAGNER PLACE, MEMPHIS, TN, 
