17471, 400 W BURDOCK, MEMPHIS, TN, 
17472, 400 WORCHESTER CV, MEMPHIS, TN, 
17473, 4000 CHERYL, MEMPHIS, TN, 
17474, 4000 CROWFARN, MEMPHIS, TN, 
17475, 4000 DUNN AVE, MEMPHIS, TN, 
17476, 4000 EGYPT CENTRAL, MEMPHIS, TN, 
17477, 4000 HOMEWOOD, MEMPHIS, TN, 
17478, 4000 MICHAEL RD, MEMPHIS, TN, 
17479, 4000 PATTE ANN DR, MEMPHIS, TN, 
17480, 4000 POTOMAC, MEMPHIS, TN, 
17481, 4000 RALEIGH MILL, MEMPHIS, TN, 
17482, 4000 RAVENS NEST DR, MEMPHIS, TN, 
17483, 4000 SEWANEE, MEMPHIS, TN, 
17484, 4000 THOMAS ST, MEMPHIS, TN, 
17485, 4000 WILDWIND CV, MEMPHIS, TN, 
17486, 4100 AIR PARK CV, MEMPHIS, TN, 
17487, 4100 BATTLEFIELD, MEMPHIS, TN, 
17488, 4100 BERKSHIRE AVE, MEMPHIS, TN, 
