5349, 5900 JARDIN PL, MEMPHIS, TN, 
5350, 5900 JULANN DR, MEMPHIS, TN, 
5351, 5900 JULANN, MEMPHIS, TN, 
5352, 600 N THIRD, MEMPHIS, TN, 
5353, 600 SOUTH MAIN, MEMPHIS, TN, 
5354, 6100 HICKORY MEADOW, MEMPHIS, TN, 
5355, 6400 ARBOR CREEK TRL, MEMPHIS, TN, 
5356, 6400 GOLDEN PARK DR, MEMPHIS, TN, 
5357, 6600 GREENWOOD, MEMPHIS, TN, 
5358, 700 CADRACA, MEMPHIS, TN, 
5359, 700 GERMANTOWN PKWY, MEMPHIS, TN, 
5360, 700 MISSISSIPPI BLVD, MEMPHIS, TN, 
5361, 700 MOHAWK, MEMPHIS, TN, 
5362, 700 N GERMANTOWN RD, MEMPHIS, TN, 
5363, 700 NONCONNAH, MEMPHIS, TN, 
5364, 7400 WINCHESTER, MEMPHIS, TN, 
5365, 8000 CLUB CENTER, MEMPHIS, TN, 
5366, 900 CLAYBROOK, MEMPHIS, TN, 
5367, 900 E BROOKS, MEMPHIS, TN, 
5368, 900 EXOCET DR, MEMPHIS, TN, 
5369, 900 MARSH, MEMPHIS, TN, 
5370, 900 N GERMANTOWN PKWY, MEMPHIS, TN, 
5371, 900 N WILLETT, MEMPHIS, TN, 
5372, AIRWAYS AND PARK, MEMPHIS, TN, 
5373, I-40 AND COVINGTON PIKE, MEMPHIS, TN, 
5374, JACKSON AND BREEDLOVE, MEMPHIS, TN, 
5375, KIRBY AND WINCHESTER, MEMPHIS, TN, 
5376, MACON AND MARIA, MEMPHIS, TN, 
5377, MADISON AND AVALON, MEMPHIS, TN, 
5378, MENDENHALL AND FLOWERING PEACH, MEMPHIS, TN, 
5379, PARK AND SEMMES, MEMPHIS, TN, 
5380, THIRD AND MONROE, MEMPHIS, TN, 
5381, THOMAS AND CHELSEA, MEMPHIS, TN, 
5382, 100 NORTH CLEVELAND, MEMPHIS, TN, 
5383, 100 W GAGE, MEMPHIS, TN, 
5384, 1000 BLYTHE, MEMPHIS, TN, 
5385, 1000 BRAD, MEMPHIS, TN, 
5386, 1000 HIGHLAND, MEMPHIS, TN, 
5387, 1000 ISABELLE, MEMPHIS, TN, 
5388, 1000 MARBLE, MEMPHIS, TN, 
5389, 1000 PHILADELPHIA, MEMPHIS, TN, 
5390, 1000 SPEED ST, MEMPHIS, TN, 
5391, 1100 CRESTHAVEN, MEMPHIS, TN, 
5392, 1100 NORTH PKWY, MEMPHIS, TN, 
5393, 1200 HICKY CV, MEMPHIS, TN, 
5394, 1200 KNEY, MEMPHIS, TN, 
5395, 1300 CANFIELD, MEMPHIS, TN, 
5396, 1300 CUMMINGS ST, MEMPHIS, TN, 
5397, 1300 VOLLINTINE AVE, MEMPHIS, TN, 
5398, 1400 CANFIELD, MEMPHIS, TN, 
5399, 1400 DORIS, MEMPHIS, TN, 
5400, 1400 E RAINES RD, MEMPHIS, TN, 
5401, 1400 ELOISE, MEMPHIS, TN, 
5402, 1500 CARRICK CT, MEMPHIS, TN, 
5403, 1500 LEDGER, MEMPHIS, TN, 
5404, 1600 BRANCHWAY, MEMPHIS, TN, 
5405, 1600 HANAUER, MEMPHIS, TN, 
5406, 1600 JACKSON AVE, MEMPHIS, TN, 
5407, 1600 LOCUST, MEMPHIS, TN, 
5408, 1700 ASH ST, MEMPHIS, TN, 
5409, 1700 E SHELBY, MEMPHIS, TN, 
5410, 1700 SEA ISLE, MEMPHIS, TN, 
5411, 1700 SOUTHWALL, MEMPHIS, TN, 
5412, 1700 VICTOR, MEMPHIS, TN, 
5413, 1800 KELTNER, MEMPHIS, TN, 
5414, 1800 SOUTHWALL, MEMPHIS, TN, 
5415, 1800 VALLEY, MEMPHIS, TN, 
5416, 1800 WHITNEY, MEMPHIS, TN, 
5417, 1900 BLAIR HUNT, MEMPHIS, TN, 
5418, 1900 WILCREST, MEMPHIS, TN, 
5419, 200 E DAVANT, MEMPHIS, TN, 
5420, 200 KIMBROUGH, MEMPHIS, TN, 
5421, 200 NORTH MAIN, MEMPHIS, TN, 
5422, 2000 DRIFTWOOD, MEMPHIS, TN, 
5423, 2000 FARRINGTON, MEMPHIS, TN, 
5424, 2000 FELIX, MEMPHIS, TN, 
5425, 2000 VICTORIA, MEMPHIS, TN, 
5426, 2200 BENTON, MEMPHIS, TN, 
5427, 2200 HEARD, MEMPHIS, TN, 
5428, 2300 NORTH GERMANTOWN PKWY, MEMPHIS, TN, 
5429, 2300 SOUTH THIRD, MEMPHIS, TN, 
5430, 2300 TRUITT ST, MEMPHIS, TN, 
5431, 2400 PERES, MEMPHIS, TN, 
5432, 2500 KIMBALL, MEMPHIS, TN, 
5433, 2500 WHITTEN RD, MEMPHIS, TN, 
5434, 2600 EAST HILLVIEW, MEMPHIS, TN, 
5435, 2600 HARGROVE, MEMPHIS, TN, 
5436, 2600 MOUNT MORIAH RD, MEMPHIS, TN, 
5437, 2700 DROMEDARY, MEMPHIS, TN, 
5438, 2800 GARDEN GROVE, MEMPHIS, TN, 
5439, 2800 NORTH WATKINS, MEMPHIS, TN, 
5440, 300 CHATHAM LN, MEMPHIS, TN, 
5441, 300 EDSEL, MEMPHIS, TN, 
5442, 300 WILLIFORD, MEMPHIS, TN, 
5443, 3000 EMERALD, MEMPHIS, TN, 
5444, 3000 MEADOWS LN, MEMPHIS, TN, 
5445, 3100 CHELSEA, MEMPHIS, TN, 
5446, 3100 CROMWELL, MEMPHIS, TN, 
5447, 3100 DEARING, MEMPHIS, TN, 
5448, 3100 MORIAH TRAIL, MEMPHIS, TN, 
5449, 3100 SIGNAL, MEMPHIS, TN, 
5450, 3200 DOMAR, MEMPHIS, TN, 
5451, 3200 E DANVILLE CIR, MEMPHIS, TN, 
5452, 3200 KRYSTAL LAKE, MEMPHIS, TN, 
5453, 3200 MENSI, MEMPHIS, TN, 
5454, 3200 POWELL, MEMPHIS, TN, 
5455, 3200 RALEIGH MILLINGTON RD, MEMPHIS, TN, 
5456, 3300 HARVESTER LN, MEMPHIS, TN, 
5457, 3300 LYNMOUTH, MEMPHIS, TN, 
5458, 3300 RIDGECREST, MEMPHIS, TN, 
5459, 3400 BURGESS, MEMPHIS, TN, 
5460, 3400 PARKER, MEMPHIS, TN, 
5461, 3400 WOODHOLLOW DR, MEMPHIS, TN, 
5462, 3500 KENSETT, MEMPHIS, TN, 
5463, 3500 MEIER, MEMPHIS, TN, 
5464, 3500 PINE RIDGE, MEMPHIS, TN, 
5465, 3500 STEELE, MEMPHIS, TN, 
5466, 3500 WARFORD, MEMPHIS, TN, 
5467, 3600 COLEMAN AVE, MEMPHIS, TN, 
5468, 3600 CROW RD, MEMPHIS, TN, 
5469, 3600 ENGLAND, MEMPHIS, TN, 
5470, 3700 HALLBROOK, MEMPHIS, TN, 
5471, 3700 PLEASANT HOLLOW DR, MEMPHIS, TN, 
5472, 3700 S MENDENHALL RD, MEMPHIS, TN, 
5473, 3800 BROOKMEADE, MEMPHIS, TN, 
5474, 3800 CLEARBROOK, MEMPHIS, TN, 
5475, 3800 CROSSWOOD CV, MEMPHIS, TN, 
5476, 3800 ELVIS PRESLEY BLVD, MEMPHIS, TN, 
5477, 3800 PARK AVE, MEMPHIS, TN, 
5478, 3800 WALKER, MEMPHIS, TN, 
5479, 3800 WICKCLIFF, MEMPHIS, TN, 
5480, 3900 HYACINTH DR, MEMPHIS, TN, 
5481, 3900 MARSONNE, MEMPHIS, TN, 
5482, 3900 VISCOUNT, MEMPHIS, TN, 
5483, 400 SCOTT ST, MEMPHIS, TN, 
5484, 4100 HARTZ, MEMPHIS, TN, 
5485, 4200 PARK AVE, MEMPHIS, TN, 
5486, 4300 FIZER, MEMPHIS, TN, 
5487, 4300 RIVERDALE RD, MEMPHIS, TN, 
5488, 4500 CRUMP, MEMPHIS, TN, 
5489, 4600 ALMO, MEMPHIS, TN, 
5490, 4600 HODGE, MEMPHIS, TN, 
5491, 4600 LAWRENCE, MEMPHIS, TN, 
