139427, 800 PARK ROSE, MEMPHIS, TN, 
139428, 800 PARR, MEMPHIS, TN, 
139429, 800 PEARSON, MEMPHIS, TN, 
139430, 800 PECAN GARDEN CIR W, MEMPHIS, TN, 
139431, 800 PECAN GARDEN CIRCLE E, MEMPHIS, TN, 
139432, 800 PECAN GARDEN CIRCLE WEST, MEMPHIS, TN, 
139433, 800 PECAN GARDENS CIRCLE E, MEMPHIS, TN, 
139434, 800 PECAN GARDENS CR E, MEMPHIS, TN, 
139435, 800 PENDLTON, MEMPHIS, TN, 
139436, 800 PERCE, MEMPHIS, TN, 
139437, 800 PERKINS EXD RD, MEMPHIS, TN, 
139438, 800 PERKINS EXTENDED RD, MEMPHIS, TN, 
139439, 800 PERKINS EXTN, MEMPHIS, TN, 
139440, 800 PERSON AVE, MEMPHIS, TN, 
139441, 800 PHILADELPHIA, MEMPHIS, TN, 
139442, 800 PHILLIPS PLACE, MEMPHIS, TN, 
139443, 800 POLK 3, MEMPHIS, TN, 
139444, 800 PONOTOC, MEMPHIS, TN, 
139445, 800 POPE AVE AND MANHATTAN ST, MEMPHIS, TN, 
139446, 800 POPE STREET, MEMPHIS, TN, 
139447, 800 POPLAR AVE AND LEATH AVE, MEMPHIS, TN, 
139448, 800 POPLAR AVE AND MANASSAS ST, MEMPHIS, TN, 
139449, 800 POPLAR AVE AND ORLEANS ST, MEMPHIS, TN, 
139450, 800 POPLAR RD, MEMPHIS, TN, 
139451, 800 POPLAR ST, MEMPHIS, TN, 
139452, 800 POPLARR AVE, MEMPHIS, TN, 
139453, 800 POPULAR AVE, MEMPHIS, TN, 
139454, 800 PRESCOTT CIRCLE, MEMPHIS, TN, 
139455, 800 PRESCOTT CL, MEMPHIS, TN, 
139456, 800 PRESCOTT CR, MEMPHIS, TN, 
139457, 800 PRESCOTT ST, MEMPHIS, TN, 
139458, 800 RAIN DANCE DR, MEMPHIS, TN, 
139459, 800 RAIN DANCE WY, MEMPHIS, TN, 
139460, 800 RAIN TREE, MEMPHIS, TN, 
139461, 800 RAINDANCE RD, MEMPHIS, TN, 
139462, 800 RAINES 1, MEMPHIS, TN, 
139463, 800 RAINES AVE, MEMPHIS, TN, 
139464, 800 RAINES RD APT 1, MEMPHIS, TN, 
139465, 800 RAINES ROAD AND AUBURN ROAD, MEMPHIS, TN, 
139466, 800 RANDAL, MEMPHIS, TN, 
139467, 800 RANDEL, MEMPHIS, TN, 
139468, 800 RANGER RD, MEMPHIS, TN, 
139469, 800 RED LEAF RD, MEMPHIS, TN, 
139470, 800 REDLEAF, MEMPHIS, TN, 
139471, 800 REGEANT PLACE, MEMPHIS, TN, 
139472, 800 REGENCY, MEMPHIS, TN, 
139473, 800 REGENT PLL, MEMPHIS, TN, 
139474, 800 REGENTS PARK, MEMPHIS, TN, 
139475, 800 REGENTS PL, MEMPHIS, TN, 
139476, 800 REGENTS PLACE, MEMPHIS, TN, 
139477, 800 RICHARDSON, MEMPHIS, TN, 
139478, 800 RICHMON, MEMPHIS, TN, 
139479, 800 RICHMOND #4, MEMPHIS, TN, 
139480, 800 RICHMOND 5, MEMPHIS, TN, 
139481, 800 RICHMOND APT 1, MEMPHIS, TN, 
139482, 800 RICHMOND APT 8, MEMPHIS, TN, 
139483, 800 RICHMOND AVE,, MEMPHIS, TN, 
139484, 800 RICHMOND RD, MEMPHIS, TN, 
139485, 800 RICHMOND ST,, MEMPHIS, TN, 
