30442, 400 HAYNES ST, MEMPHIS, TN, 
30443, 400 HAZELWOOD, MEMPHIS, TN, 
30444, 400 HIGHLAND, MEMPHIS, TN, 
30445, 400 HONDURAS RD, MEMPHIS, TN, 
30446, 400 HOWARD, MEMPHIS, TN, 
30447, 400 IVAN, MEMPHIS, TN, 
30448, 400 JONES ST, MEMPHIS, TN, 
30449, 400 KEEL AVE, MEMPHIS, TN, 
30450, 400 LEONORA, MEMPHIS, TN, 
30451, 400 LUNDEE PLACE, MEMPHIS, TN, 
30452, 400 MAHANNAH, MEMPHIS, TN, 
30453, 400 MCNEIL, MEMPHIS, TN, 
30454, 400 MINERAL, MEMPHIS, TN, 
30455, 400 N BUTLERWOOD, MEMPHIS, TN, 
30456, 400 N FERNWAY DR, MEMPHIS, TN, 
30457, 400 N HUMPHREYS, MEMPHIS, TN, 
30458, 400 N THIRD, MEMPHIS, TN, 
30459, 400 NORTH CLEVELAND ST, MEMPHIS, TN, 
30460, 400 NORTH GRAHAM, MEMPHIS, TN, 
30461, 400 NORTH MCNEIL, MEMPHIS, TN, 
30462, 400 PARKDALE DR, MEMPHIS, TN, 
30463, 400 PICKETT RD, MEMPHIS, TN, 
30464, 400 RED OAKS, MEMPHIS, TN, 
30465, 400 S 2ND, MEMPHIS, TN, 
30466, 400 S BELLVUE, MEMPHIS, TN, 
30467, 400 S BUNTYN ST, MEMPHIS, TN, 
30468, 400 S FENWICK ST, MEMPHIS, TN, 
30469, 400 S PERKINS, MEMPHIS, TN, 
30470, 400 S PKWY WEST, MEMPHIS, TN, 
30471, 400 S WATKINS, MEMPHIS, TN, 
30472, 400 ST ANDREWS FAIRWAY, MEMPHIS, TN, 
30473, 400 STAR BLOSSOM CV, MEMPHIS, TN, 
30474, 400 W LEVI, MEMPHIS, TN, 
30475, 400 W MALLORY, MEMPHIS, TN, 
30476, 400 WEST HOLMES, MEMPHIS, TN, 
30477, 400 WOODMERE LN, MEMPHIS, TN, 
30478, 4000 ANN ARBOR CT, MEMPHIS, TN, 
30479, 4000 BEN VENUE, MEMPHIS, TN, 
