9467, 600 MALCOMB, MEMPHIS, TN, 
9468, 600 SOUTH LAUDERDALE, MEMPHIS, TN, 
9469, 600 W CADRACA DR, MEMPHIS, TN, 
9470, 600 W LEVI RD, MEMPHIS, TN, 
9471, 6000 LOFTY OAK RD, MEMPHIS, TN, 
9472, 6100 RAINTREE, MEMPHIS, TN, 
9473, 6100 WHISPER VALLEY DR, MEMPHIS, TN, 
9474, 6400 ARBORWOOD, MEMPHIS, TN, 
9475, 6400 BERRYPICK LN, MEMPHIS, TN, 
9476, 6400 THISTLEBROOK DR, MEMPHIS, TN, 
9477, 6400 TREADWAY TRAIL, MEMPHIS, TN, 
9478, 6600 CENTURY ARBOR PL W, MEMPHIS, TN, 
9479, 6600 COUNTRY OAKS, MEMPHIS, TN, 
9480, 6700 HARTFORD, MEMPHIS, TN, 
9481, 6800 BAINBRIDGE, MEMPHIS, TN, 
9482, 700 GEORGE, MEMPHIS, TN, 
9483, 700 N SEVENTH, MEMPHIS, TN, 
9484, 700 S DANNY THOMAS, MEMPHIS, TN, 
9485, 700 SAFARI, MEMPHIS, TN, 
9486, 7000 APPLING FARMS PKWY, MEMPHIS, TN, 
9487, 7000 RED OAK CIRCLE, MEMPHIS, TN, 
9488, 7600 HWY 64, MEMPHIS, TN, 
9489, 800 AYERS ST, MEMPHIS, TN, 
9490, 800 CRESCENT, MEMPHIS, TN, 
9491, 800 GARLAND, MEMPHIS, TN, 
9492, 800 ROLAND, MEMPHIS, TN, 
9493, 800 WATSON, MEMPHIS, TN, 
