54403, KANSAS AND FAYE, MEMPHIS, TN, 
54404, KANSAS AND FLORIDA, MEMPHIS, TN, 
54405, KANSAS AND KENTUCKY, MEMPHIS, TN, 
54406, KANSAS AND LUCCA, MEMPHIS, TN, 
54407, KANSAS AND MCLEMORE, MEMPHIS, TN, 
54408, KATE BOND AND HWY 64, MEMPHIS, TN, 
54409, KEATING AND DEADRICK, MEMPHIS, TN, 
54410, KEATING ST AND PARK AVE, MEMPHIS, TN, 
54411, KEEL AND BELLEVUE, MEMPHIS, TN, 
54412, KEEL AND DECATUR, MEMPHIS, TN, 
54413, KEEL AND MONTGOMERY, MEMPHIS, TN, 
54414, KEEL AND OLYMPIC, MEMPHIS, TN, 
54415, KEEL AND SPEED, MEMPHIS, TN, 
54416, KEEL AVE AND ALASKA ST, MEMPHIS, TN, 
54417, KENOSHA AND COTTONWOOD, MEMPHIS, TN, 
54418, KENOSHA AND WATSON, MEMPHIS, TN, 
54419, KENSETT AND CORNING, MEMPHIS, TN, 
54420, KENT AND SPOTTSWOOD, MEMPHIS, TN, 
54421, KENT AND WINDCREST, MEMPHIS, TN, 
54422, KENTUCKY AND FRANK, MEMPHIS, TN, 
54423, KERR AND EMMASON, MEMPHIS, TN, 
54424, KERR AND HARLEM, MEMPHIS, TN, 
54425, KERR AND HAVANA, MEMPHIS, TN, 
54426, KERR AND RAYNER, MEMPHIS, TN, 
54427, KERWIN AND TIMBERWOOD, MEMPHIS, TN, 
54428, KERWIN AND TRUFANT, MEMPHIS, TN, 
54429, KETCHUM AND DAWNWOOD CV, MEMPHIS, TN, 
54430, KETCHUM AND DURBY, MEMPHIS, TN, 
54431, KETCHUM RD AND DAWNWOOD CV, MEMPHIS, TN, 
54432, KETCHUM RD AND LONG ST, MEMPHIS, TN, 
54433, KEYSTONE AND GLADSTONE, MEMPHIS, TN, 
54434, KEYSTONE AND RIDGEMONT, MEMPHIS, TN, 
54435, KIMBALL AND CRIDER, MEMPHIS, TN, 
54436, KIMBALL AND REBECCA, MEMPHIS, TN, 
54437, KIMBALL AND SEA ISLE, MEMPHIS, TN, 
54438, KIMBROUGH ST AND EASTMORELAND AVE, MEMPHIS, TN, 
54439, KING AND ALTA, MEMPHIS, TN, 
54440, KING RD AND FORD RD, MEMPHIS, TN, 
54441, KINGS GLADE AND KINGS PORT, MEMPHIS, TN, 
54442, KINGSBURY AND GRAHAM, MEMPHIS, TN, 
