7468, 4800 WILD PLUM CT, MEMPHIS, TN, 
7469, 500 LORAINE, MEMPHIS, TN, 
7470, 500 ROSEWOOD, MEMPHIS, TN, 
7471, 5000 BOEINGSHIRE, MEMPHIS, TN, 
7472, 5000 COTTONWOOD RD, MEMPHIS, TN, 
7473, 5100 VILLAGE WOOD DR, MEMPHIS, TN, 
7474, 5200 MILLBRANCH RD, MEMPHIS, TN, 
7475, 5200 PLEASANT VIEW, MEMPHIS, TN, 
7476, 5300 COTTONWOOD, MEMPHIS, TN, 
7477, 5500 MEADOWLAKE DR NORTH, MEMPHIS, TN, 
7478, 5500 VANDER OAK, MEMPHIS, TN, 
7479, 5700 SAN MATEO CV, MEMPHIS, TN, 
7480, 5800 E SHELBY DR, MEMPHIS, TN, 
7481, 5800 QUINCE, MEMPHIS, TN, 
7482, 5800 WOODBOURNE CT, MEMPHIS, TN, 
7483, 5900 ASQUITH, MEMPHIS, TN, 
7484, 5900 KNIGHT ARNOLD RD, MEMPHIS, TN, 
7485, 600 ARBOR HOLLOW, MEMPHIS, TN, 
7486, 600 E ALSTON, MEMPHIS, TN, 
7487, 600 LAUDERDALE OAK CV, MEMPHIS, TN, 
7488, 600 LEATH, MEMPHIS, TN, 
7489, 600 N PERKINS ST, MEMPHIS, TN, 
7490, 600 S BELLEVUE, MEMPHIS, TN, 
7491, 600 VAUGHN, MEMPHIS, TN, 
7492, 600 WESTERN PARK, MEMPHIS, TN, 
7493, 6000 HICKORY BRANCH CV, MEMPHIS, TN, 
7494, 6000 HICKORY TRACE CV, MEMPHIS, TN, 
