34363, 6600 CASTLE OAK CV, MEMPHIS, TN, 
34364, 6600 CITADEL CV, MEMPHIS, TN, 
34365, 6600 COUNT BASIE, MEMPHIS, TN, 
34366, 6600 E CHARDONNAY CV, MEMPHIS, TN, 
34367, 6600 E MARGAUX CV, MEMPHIS, TN, 
34368, 6600 EAST RAINES RD, MEMPHIS, TN, 
34369, 6600 EAST RAINES, MEMPHIS, TN, 
34370, 6600 EDMONDSHIRE, MEMPHIS, TN, 
34371, 6600 ERNEST CV, MEMPHIS, TN, 
34372, 6600 GALLEN DR, MEMPHIS, TN, 
34373, 6600 GALLON DR, MEMPHIS, TN, 
34374, 6600 IMPERIAL OAK, MEMPHIS, TN, 
34375, 6600 KIRBY PKWY, MEMPHIS, TN, 
34376, 6600 KNIGHT ARNOLD EXT, MEMPHIS, TN, 
34377, 6600 LOST OAKS, MEMPHIS, TN, 
34378, 6600 MTMORIAH, MEMPHIS, TN, 
34379, 6600 QUAIL HOLLOW, MEMPHIS, TN, 
34380, 6700 EAST QUAILBROOK, MEMPHIS, TN, 
34381, 6700 EAST RAINES RD, MEMPHIS, TN, 
34382, 6700 MASSEY LN, MEMPHIS, TN, 
34383, 6700 QUAIL CVY DR, MEMPHIS, TN, 
34384, 6700 WADERS RIDGE DR, MEMPHIS, TN, 
34385, 6700 WHISPERING OAKS PL, MEMPHIS, TN, 
34386, 6800 CLUB RIDGE DR, MEMPHIS, TN, 
34387, 6800 KAMALI AVE, MEMPHIS, TN, 
34388, 6800 KIRBY ARMS DR, MEMPHIS, TN, 
34389, 6800 LANDING WAY NORTH, MEMPHIS, TN, 
34390, 6800 LENNOX CENTER CT, MEMPHIS, TN, 
34391, 6800 N QUAIL HOLLOW RD, MEMPHIS, TN, 
34392, 6800 NORTH QUAIL HOLLOW, MEMPHIS, TN, 
34393, 6800 REINDEER, MEMPHIS, TN, 
34394, 6800 RIVER BIRCH RD, MEMPHIS, TN, 
34395, 6800 STORNAWAY, MEMPHIS, TN, 
34396, 6800 THE WILLOWS, MEMPHIS, TN, 
34397, 6800 WILLOW WAY LN, MEMPHIS, TN, 
34398, 6800 WINCHESTER AVE, MEMPHIS, TN, 
34399, 6900 CLUB RIDGE DR, MEMPHIS, TN, 
34400, 6900 CLUBRIDGE CIRCLE, MEMPHIS, TN, 
34401, 6900 DUNCAN LN, MEMPHIS, TN, 
34402, 6900 FOX GAP CV, MEMPHIS, TN, 
34403, 6900 MACON CV, MEMPHIS, TN, 
34404, 6900 MEADOW END LN, MEMPHIS, TN, 
34405, 6900 MEADOW TOP CV, MEMPHIS, TN, 
34406, 700 AVON RD, MEMPHIS, TN, 
34407, 700 BURLINGTON CIR, MEMPHIS, TN, 
34408, 700 BURLINGTON CIRCLE, MEMPHIS, TN, 
34409, 700 DEERSKIN RD, MEMPHIS, TN, 
34410, 700 E HOLMES, MEMPHIS, TN, 
34411, 700 EADS, MEMPHIS, TN, 
34412, 700 ELMWOOD PARK ST, MEMPHIS, TN, 
34413, 700 ESTRIDGE DR, MEMPHIS, TN, 
34414, 700 FIFTH ST, MEMPHIS, TN, 
34415, 700 FLORIDA, MEMPHIS, TN, 
34416, 700 GEORGE ST, MEMPHIS, TN, 
34417, 700 GEORGIA AVE, MEMPHIS, TN, 
34418, 700 GERMANTOWN PKY, MEMPHIS, TN, 
34419, 700 GERMANTOWN RD, MEMPHIS, TN, 
34420, 700 GREENLAW, MEMPHIS, TN, 
34421, 700 GRENADA, MEMPHIS, TN, 
34422, 700 GUTHRIE AVE, MEMPHIS, TN, 
34423, 700 HASTINGS ST, MEMPHIS, TN, 
34424, 700 HURON AVE, MEMPHIS, TN, 
34425, 700 INEZ ST, MEMPHIS, TN, 
34426, 700 LEAVERT ST, MEMPHIS, TN, 
34427, 700 LEDBETTER AVE, MEMPHIS, TN, 
34428, 700 LN, MEMPHIS, TN, 
34429, 700 LODESTONE WAY, MEMPHIS, TN, 
34430, 700 MALCOMB, MEMPHIS, TN, 
34431, 700 MANASSAS ST, MEMPHIS, TN, 
34432, 700 MANSFIELD, MEMPHIS, TN, 
34433, 700 MCDAVITT PLACE, MEMPHIS, TN, 
34434, 700 MCKINLEY, MEMPHIS, TN, 
34435, 700 MEADOWBROOK, MEMPHIS, TN, 
34436, 700 MISSISSIPPI BOULEVARD, MEMPHIS, TN, 
34437, 700 MOSS RD, MEMPHIS, TN, 
34438, 700 MT MORIAH, MEMPHIS, TN, 
34439, 700 N 2ND ST, MEMPHIS, TN, 
34440, 700 N OAK GROVE RD, MEMPHIS, TN, 
34441, 700 N OAK GROVE, MEMPHIS, TN, 
34442, 700 NORMAL, MEMPHIS, TN, 
34443, 700 NORTH MCLEAN, MEMPHIS, TN, 
34444, 700 NORTH SIXTH, MEMPHIS, TN, 
34445, 700 NOVARESE, MEMPHIS, TN, 
34446, 700 ORCHARD AVE, MEMPHIS, TN, 
34447, 700 PERKINS EXTD, MEMPHIS, TN, 
34448, 700 QUEENSFAIRWAY, MEMPHIS, TN, 
34449, 700 S GOODLETT ST, MEMPHIS, TN, 
34450, 700 S HIGHLAND AVE, MEMPHIS, TN, 
34451, 700 S MANSFIELD, MEMPHIS, TN, 
34452, 700 S PERKINS RD, MEMPHIS, TN, 
34453, 700 S THIRD ST, MEMPHIS, TN, 
34454, 700 S WHITE STATION, MEMPHIS, TN, 
34455, 700 S WHITESTATION, MEMPHIS, TN, 
34456, 700 SEMPLE AVE, MEMPHIS, TN, 
34457, 700 SOUTH DANNY THOMAS, MEMPHIS, TN, 
34458, 700 SOUTH PRESCOTT, MEMPHIS, TN, 
34459, 700 ST JUDE PL, MEMPHIS, TN, 
34460, 700 ST NICK, MEMPHIS, TN, 
34461, 700 TEALWOOD, MEMPHIS, TN, 
34462, 700 TM HENDERSON, MEMPHIS, TN, 
34463, 700 TREZEVANT, MEMPHIS, TN, 
34464, 700 W BROOKHAVEN, MEMPHIS, TN, 
34465, 700 WEST PEEBLES, MEMPHIS, TN, 
34466, 700 WESTVIEW RD, MEMPHIS, TN, 
34467, 700 WHITE ROCK, MEMPHIS, TN, 
34468, 700 WHITESBORO, MEMPHIS, TN, 
34469, 7000 BLUE SKY CV, MEMPHIS, TN, 
34470, 7000 BORDEAUX LN, MEMPHIS, TN, 
34471, 7000 ESHELBY DR, MEMPHIS, TN, 
34472, 7000 FOX GAP, MEMPHIS, TN, 
34473, 7000 TULIP TRAIL DR, MEMPHIS, TN, 
34474, 7100 BAINTREE CV, MEMPHIS, TN, 
34475, 7100 BUTTERNUT, MEMPHIS, TN, 
34476, 7100 CRESTRIDGE RD, MEMPHIS, TN, 
34477, 7100 GLENEAGLES, MEMPHIS, TN, 
