3469, 1600 POPLAR, MEMPHIS, TN, 
3470, 1700 WATSON, MEMPHIS, TN, 
3471, 1900 GETWELL RD, MEMPHIS, TN, 
3472, 200 N CLAYBROOK, MEMPHIS, TN, 
3473, 2000 MADISON AVE, MEMPHIS, TN, 
3474, 2100 VOLLINTINE, MEMPHIS, TN, 
3475, 2200 CURRY, MEMPHIS, TN, 
3476, 2200 LEYTON, MEMPHIS, TN, 
3477, 2300 CORRY, MEMPHIS, TN, 
3478, 2500 DWIGHT, MEMPHIS, TN, 
3479, 2500 PERES, MEMPHIS, TN, 
3480, 2500 WARREN, MEMPHIS, TN, 
3481, 2600 OVERTON CROSSING, MEMPHIS, TN, 
3482, 2700 POPLAR AVE, MEMPHIS, TN, 
3483, 2800 DRURY WAY LN, MEMPHIS, TN, 
3484, 2800 GARDEN GROVE CIR, MEMPHIS, TN, 
3485, 2800 MADISON, MEMPHIS, TN, 
3486, 2900 MORNING LAKE DR, MEMPHIS, TN, 
3487, 2900 YALE, MEMPHIS, TN, 
3488, 300 ALSTON, MEMPHIS, TN, 
3489, 300 N DUNLAP, MEMPHIS, TN, 
3490, 300 N LAUDERDALE ST, MEMPHIS, TN, 
3491, 3000 BARRON AVE, MEMPHIS, TN, 
3492, 3000 KIMBALL, MEMPHIS, TN, 
3493, 3100 ALLISON, MEMPHIS, TN, 
3494, 3100 DANVILLE, MEMPHIS, TN, 
3495, 3100 GIVEN, MEMPHIS, TN, 
3496, 3100 WILLOW OAKS, MEMPHIS, TN, 
3497, 3200 NORTHGATE, MEMPHIS, TN, 
3498, 3400 CREIGHTON, MEMPHIS, TN, 
3499, 3400 GIVEN, MEMPHIS, TN, 
