166392, SAM COOPER AND PERKINS EXT, MEMPHIS, TN, 
166393, SAM COOPER AND SCOTT, MEMPHIS, TN, 
166394, SAM COOPER AND TILLMAN AVE, MEMPHIS, TN, 
166395, SAM COOPER AND TILLNAN, MEMPHIS, TN, 
166396, SAM COOPER AND VADALIA, MEMPHIS, TN, 
166397, SAM COOPER AND VANDALIA ST, MEMPHIS, TN, 
166398, SAM COOPER AND WHITE STATION, MEMPHIS, TN, 
166399, SAM COOPER AND WHITESTATION, MEMPHIS, TN, 
166400, SAM COOPER AV AND PERKINS RD, MEMPHIS, TN, 
166401, SAM COOPER BLVD AND CARPENTER, MEMPHIS, TN, 
166402, SAM COOPER BLVD AND GRAHAM ST, MEMPHIS, TN, 
166403, SAM COOPER BLVD AND LIPFORD ST, MEMPHIS, TN, 
166404, SAM COOPER BLVD AND MENDENHALL RD, MEMPHIS, TN, 
166405, SAM COOPER BLVD AND N BINGHAM ST, MEMPHIS, TN, 
166406, SAM COOPER BLVD AND N HOLLYWOOD, MEMPHIS, TN, 
166407, SAM COOPER BLVD AND N PERKINS RD, MEMPHIS, TN, 
166408, SAM COOPER BLVD AND N PERKINS, MEMPHIS, TN, 
166409, SAM COOPER BLVD AND PERKINS AVE, MEMPHIS, TN, 
166410, SAM COOPER BLVD AND PERKINS, MEMPHIS, TN, 
166411, SAM COOPER BLVD AND TILLMAN RD, MEMPHIS, TN, 
166412, SAM COOPER BLVD AND WHITE STATION, MEMPHIS, TN, 
166413, SAM COOPER BLVD I-240 RD, MEMPHIS, TN, 
166414, SAM COOPER BLVD W AND B AND TILLMAN, MEMPHIS, TN, 
166415, SAM COOPER BLVD-WEST OF TILLMAN ST, MEMPHIS, TN, 
166416, SAM COOPER BV AND PERKINS RD, MEMPHIS, TN, 
166417, SAM COOPER BV AND TILLMAN RD, MEMPHIS, TN, 
166418, SAM COOPER E AND O VANDALIA, MEMPHIS, TN, 
166419, SAM COOPER E AND OF PERKINS, MEMPHIS, TN, 
166420, SAM COOPER EAST OF AND GRAHAM RD, MEMPHIS, TN, 
166421, SAM COOPER EAST OF PERKINS, MEMPHIS, TN, 
