72399, DON AND MOHAWK, MEMPHIS, TN, 
72400, DONNA AND BURNHAM, MEMPHIS, TN, 
72401, DORADO AND PARFET CV, MEMPHIS, TN, 
72402, DORIAN AND THOMAS, MEMPHIS, TN, 
72403, DORIS AND SILVER, MEMPHIS, TN, 
72404, DORTHY PL AND WALDRAN BLVD, MEMPHIS, TN, 
72405, DOTHAN AND SCOTSDALE, MEMPHIS, TN, 
72406, DOUBLE TREE AND INDIAN BEND, MEMPHIS, TN, 
72407, DOUBLE TREE AND PARKROSE, MEMPHIS, TN, 
72408, DOUBLETREE AND CONNEMARA, MEMPHIS, TN, 
72409, DOUBLETREE AND SUNVALLEY, MEMPHIS, TN, 
72410, DOUBLETREE AND W RAINES, MEMPHIS, TN, 
72411, DOUGLAS AND BUNTYN, MEMPHIS, TN, 
72412, DOUGLAS AND DALLAS, MEMPHIS, TN, 
72413, DOUGLAS AND MARECHALNEIL, MEMPHIS, TN, 
72414, DOUGLAS AND PRESCOTT, MEMPHIS, TN, 
72415, DOUGLASS AND HILTON, MEMPHIS, TN, 
72416, DOUGLASS AND LAUREL, MEMPHIS, TN, 
72417, DOUGLASS AND LOEB, MEMPHIS, TN, 
72418, DOUGLASS AND MARIANNA, MEMPHIS, TN, 
72419, DOUGLASS AVE AND BUNTYN ST, MEMPHIS, TN, 
72420, DOUGLASS AVE AND DAVID ST, MEMPHIS, TN, 
72421, DR HOLLIS F PRICE, MEMPHIS, TN, 
72422, DR HOLLIS PRICE AND WALKER, MEMPHIS, TN, 
72423, DR M L KING JR AND S ORLEANS ST, MEMPHIS, TN, 
72424, DRIFTWOOD AND PARHAM, MEMPHIS, TN, 
72425, DRIFTWOOD AND WATKINS, MEMPHIS, TN, 
72426, DRIVEI-55 AND METAL MUSEUM DR, MEMPHIS, TN, 
72427, DROMEDARY AND MARINER CV, MEMPHIS, TN, 
72428, DRUID HILL AND TROOST, MEMPHIS, TN, 
72429, DUBLIN AND COOPER, MEMPHIS, TN, 
72430, DUDLEY AND EH CRUMP, MEMPHIS, TN, 
72431, DUDLEY AND GROVE, MEMPHIS, TN, 
72432, DUDLEY AND VANCE, MEMPHIS, TN, 
72433, DUDLEY ST AND CRUMP BLVD, MEMPHIS, TN, 
72434, DUKE AND CHELEA AVE, MEMPHIS, TN, 
