467, 5300 S THIRD, MEMPHIS, TN, 
468, 2000 SOUTH THIRD, MEMPHIS, TN, 
469, 3600 BOXDALE, MEMPHIS, TN, 
470, 3600 KENDRICK, MEMPHIS, TN, 
471, 3600 PARK AVE, MEMPHIS, TN, 
472, 4600 HUDGINS, MEMPHIS, TN, 
473, 800 N WHITE STATION, MEMPHIS, TN, 
474, 1100 POPLAR, MEMPHIS, TN, 
475, 1500 UNION, MEMPHIS, TN, 
476, 6500 WINCHESTER RD, MEMPHIS, TN, 
477, 1300 LAMAR, MEMPHIS, TN, 
478, 2600 MT MORIAH, MEMPHIS, TN, 
479, 2900 S MENDENHALL, MEMPHIS, TN, 
480, 3800 JACKSON AVE, MEMPHIS, TN, 
481, 4000 PARK, MEMPHIS, TN, 
482, 4200 RAINBRANCH, MEMPHIS, TN, 
483, 6000 KNIGHT ARNOLD, MEMPHIS, TN, 
484, 1000 N HIGHLAND, MEMPHIS, TN, 
485, 1400 WINCHESTER, MEMPHIS, TN, 
486, 1000 PEABODY, MEMPHIS, TN, 
487, 1300 WINCHESTER, MEMPHIS, TN, 
488, 3500 RIVERDALE RD, MEMPHIS, TN, 
489, 1000 N MENDENHALL, MEMPHIS, TN, 
490, 1900 POPLAR, MEMPHIS, TN, 
491, 3500 N WATKINS, MEMPHIS, TN, 
492, 4400 CREEKWOOD DR, MEMPHIS, TN, 
493, 1300 LAMAR AVE, MEMPHIS, TN, 
494, 1500 JACKSON, MEMPHIS, TN, 
495, 200 N BELVEDERE, MEMPHIS, TN, 
496, 2500 KETCHUM CV, MEMPHIS, TN, 
497, 300 N MAIN, MEMPHIS, TN, 
498, 4100 JACKSON AVE, MEMPHIS, TN, 
499, 1400 CT, MEMPHIS, TN, 
500, 2300 UNION, MEMPHIS, TN, 
501, 2800 KIMBALL, MEMPHIS, TN, 
502, 300 N CLEVELAND, MEMPHIS, TN, 
503, 3400 POPLAR, MEMPHIS, TN, 
504, 3600 MENDENHALL, MEMPHIS, TN, 
505, 7500 WINCHESTER RD, MEMPHIS, TN, 
