28368, 5600 TIMMONS AVE, MEMPHIS, TN, 
28369, 5700 BARFIELD, MEMPHIS, TN, 
28370, 5700 FEDERAL AVE, MEMPHIS, TN, 
28371, 5700 FRESNO, MEMPHIS, TN, 
28372, 5700 MT MORIAH EXT, MEMPHIS, TN, 
28373, 5700 SHADY GLEN, MEMPHIS, TN, 
28374, 5700 WINCHESTER, MEMPHIS, TN, 
28375, 5800 ASHBRIAR, MEMPHIS, TN, 
28376, 5800 DEERFIELD LN, MEMPHIS, TN, 
28377, 5800 DUTTON PL, MEMPHIS, TN, 
28378, 5800 EASTOVER PL, MEMPHIS, TN, 
28379, 5800 SYCAMORE VIEW, MEMPHIS, TN, 
28380, 5800 TANGLE OAK DR, MEMPHIS, TN, 
28381, 5800 TANGLE OAK, MEMPHIS, TN, 
28382, 5800 TANGLEOAKS DR, MEMPHIS, TN, 
28383, 5900 FOX BEND CV, MEMPHIS, TN, 
28384, 5900 HIGHWAY 70, MEMPHIS, TN, 
28385, 5900 MACLEOD DR, MEMPHIS, TN, 
28386, 5900 SHADY GROVE, MEMPHIS, TN, 
28387, 5900 WINDING RIVER WAY, MEMPHIS, TN, 
28388, 600 AVON CV, MEMPHIS, TN, 
28389, 600 BRUINS TRACE, MEMPHIS, TN, 
28390, 600 BUCK, MEMPHIS, TN, 
28391, 600 CHALMERS RD, MEMPHIS, TN, 
28392, 600 CHARTER AVE, MEMPHIS, TN, 
28393, 600 CHARTER RD, MEMPHIS, TN, 
28394, 600 COOPER, MEMPHIS, TN, 
28395, 600 E MALLORY ST, MEMPHIS, TN, 
28396, 600 EAST MCKELLAR, MEMPHIS, TN, 
28397, 600 EVA ST, MEMPHIS, TN, 
28398, 600 FRANK, MEMPHIS, TN, 
28399, 600 GARLAND, MEMPHIS, TN, 
28400, 600 GOODLAND, MEMPHIS, TN, 
28401, 600 HARWOOD CV, MEMPHIS, TN, 
28402, 600 JESSAMINE, MEMPHIS, TN, 
28403, 600 LEATH ST, MEMPHIS, TN, 
28404, 600 LORAINE DR, MEMPHIS, TN, 
28405, 600 MCLEMORE AVE, MEMPHIS, TN, 
28406, 600 MEADOWBROOK ST, MEMPHIS, TN, 
28407, 600 MEADOWBROOK, MEMPHIS, TN, 
28408, 600 MOCCASIN, MEMPHIS, TN, 
28409, 600 N FOURTH ST, MEMPHIS, TN, 
28410, 600 N MANASSAS ST, MEMPHIS, TN, 
28411, 600 NORTH MANASSAS, MEMPHIS, TN, 
28412, 600 NORTH PERKINS RD, MEMPHIS, TN, 
28413, 600 PEAR, MEMPHIS, TN, 
28414, 600 PODESTA, MEMPHIS, TN, 
28415, 600 S BARKSDALE, MEMPHIS, TN, 
28416, 600 S EDGEWOOD, MEMPHIS, TN, 
28417, 600 S HIGHLAND RD, MEMPHIS, TN, 
28418, 600 SANFORD RD, MEMPHIS, TN, 
28419, 600 SEVENTH, MEMPHIS, TN, 
28420, 600 SHAWNEE, MEMPHIS, TN, 
28421, 600 SOUTH MENDENHALL RD, MEMPHIS, TN, 
28422, 600 SOUTH PRESCOTT, MEMPHIS, TN, 
28423, 600 TONTO RD, MEMPHIS, TN, 
28424, 600 VANDALIA ST, MEMPHIS, TN, 
28425, 600 VAUGHN RD, MEMPHIS, TN, 
28426, 600 WASHINGTON, MEMPHIS, TN, 
28427, 600 WEAKLEY AVE, MEMPHIS, TN, 
28428, 600 WEST SHELBY DR, MEMPHIS, TN, 
28429, 600 WHITEPOINT AVE, MEMPHIS, TN, 
28430, 600 WILLIAMS AVE, MEMPHIS, TN, 
28431, 6000 BLACK ROCK LN, MEMPHIS, TN, 
28432, 6000 BLACK ROCK, MEMPHIS, TN, 
28433, 6000 BRIARCREST, MEMPHIS, TN, 
28434, 6000 E HOLMES RD, MEMPHIS, TN, 
28435, 6000 E POINTE DR, MEMPHIS, TN, 
28436, 6000 EAST SHELBY DR, MEMPHIS, TN, 
28437, 6000 FOXRIDGE, MEMPHIS, TN, 
28438, 6000 KEMPER CV, MEMPHIS, TN, 
28439, 6000 LITTLE BROOK CIR S, MEMPHIS, TN, 
28440, 6000 LITTLE BROOK CIRCLE N, MEMPHIS, TN, 
28441, 6000 LITTLE BROOK CIRCLE, MEMPHIS, TN, 
28442, 6000 LITTLEBROOK, MEMPHIS, TN, 
28443, 6000 MCQUEEN CV, MEMPHIS, TN, 
28444, 6000 PONDEROSA PINE, MEMPHIS, TN, 
28445, 6000 SCOTTWOOD, MEMPHIS, TN, 
28446, 6000 SUMMER RIDGE DR, MEMPHIS, TN, 
28447, 6100 BELLE FORREST, MEMPHIS, TN, 
28448, 6100 GLOBAL, MEMPHIS, TN, 
28449, 6100 HOLMES, MEMPHIS, TN, 
28450, 6100 KNIGHTBRIDGE DR, MEMPHIS, TN, 
28451, 6100 RIDGEWYCK RD, MEMPHIS, TN, 
28452, 6100 ROSEWIND CIR W, MEMPHIS, TN, 
28453, 6100 TIFFANY RD, MEMPHIS, TN, 
28454, 6200 ASHTON, MEMPHIS, TN, 
28455, 6200 ERYIE, MEMPHIS, TN, 
28456, 6200 HICKORY HILL, MEMPHIS, TN, 
28457, 6200 HOLLY PARK, MEMPHIS, TN, 
28458, 6200 KNIGHTSBRIDGE CIRCLE, MEMPHIS, TN, 
28459, 6200 MINGLE DR, MEMPHIS, TN, 
28460, 6200 RIDGELINE DR, MEMPHIS, TN, 
28461, 6200 VILLAGE GROVE DR, MEMPHIS, TN, 
