31441, ARLINGTON AND AIRWAYS, MEMPHIS, TN, 
31442, AUBURN AND CRAFT RD, MEMPHIS, TN, 
31443, AUSTIN PEAY AND I-240, MEMPHIS, TN, 
31444, AUSTIN PEAY AND I40, MEMPHIS, TN, 
31445, AYERS AND JACKSON, MEMPHIS, TN, 
31446, AYERS AND LANE, MEMPHIS, TN, 
31447, BALTIC AND PERSHING, MEMPHIS, TN, 
31448, BARRON AND GREER, MEMPHIS, TN, 
31449, BAYLISS AND WELLS STATION, MEMPHIS, TN, 
31450, BEALE ALLEY AND THIRD, MEMPHIS, TN, 
31451, BEALE ST AND FRONT ST, MEMPHIS, TN, 
31452, BELLEVUE AND CHELSEA, MEMPHIS, TN, 
31453, BELLEVUE AND VINTON, MEMPHIS, TN, 
31454, BERTA AND SHELBY DR, MEMPHIS, TN, 
31455, BISHOPS BRIDGE AND CHRISTINE, MEMPHIS, TN, 
31456, BISMARK AND KIRK, MEMPHIS, TN, 
31457, BOSTON AND FELIX, MEMPHIS, TN, 
31458, BREEDLOVE AND PALMETTO, MEMPHIS, TN, 
31459, BROOKMEADE AND CORNING, MEMPHIS, TN, 
31460, BROOKS AND HORNLAKE, MEMPHIS, TN, 
31461, BROOKS RD, MEMPHIS, TN, 
31462, CAMILLA AND LINDEN, MEMPHIS, TN, 
31463, CARNES AND GOODWYN, MEMPHIS, TN, 
31464, CARNES AND GREER, MEMPHIS, TN, 
31465, CARNES AND PENDELTON, MEMPHIS, TN, 
31466, CASTALIA AND FRISCO, MEMPHIS, TN, 
31467, CHELSEA AND PANAMA, MEMPHIS, TN, 
31468, CHELSEA AND STANDRIDGE, MEMPHIS, TN, 
31469, CHERRY AND KIMBALL, MEMPHIS, TN, 
31470, CHIMNEYROCK AND BERRYHILL, MEMPHIS, TN, 
31471, CHISCA AND SEMMES, MEMPHIS, TN, 
31472, CHUCK AND AUSTINWOOD, MEMPHIS, TN, 
31473, CHUCK AND PERKINS, MEMPHIS, TN, 
31474, CHUCK AND WINGATE, MEMPHIS, TN, 
31475, CINCINNATI AND DUNN, MEMPHIS, TN, 
