149391, EAST MCLEMORE AVE AND GREENWOOD ST, MEMPHIS, TN, 
149392, EAST MCLEMORE AVE AND MISSISSIPPI BOULE, MEMPHIS, TN, 
149393, EAST MCLEMORE AVE AND SOUTH LAUDERDALE, MEMPHIS, TN, 
149394, EAST MCLEMORE AVE AND TANGLEWOOD ST, MEMPHIS, TN, 
149395, EAST MCLEMORE, MEMPHIS, TN, 
149396, EAST MITCHELL AND NELLY ST, MEMPHIS, TN, 
149397, EAST MOORELAND AND DUDLEY, MEMPHIS, TN, 
149398, EAST MORELAND AND MADISON AVE, MEMPHIS, TN, 
149399, EAST MORELAND AND PASADENA PL, MEMPHIS, TN, 
149400, EAST NORWOOD AND FLORIDA, MEMPHIS, TN, 
149401, EAST OAK SIDE AND HIGHBRIDGE, MEMPHIS, TN, 
149402, EAST OAK SIDE AND OAK LAKE LN, MEMPHIS, TN, 
149403, EAST OAKSIDE DR AND OAK SHADE, MEMPHIS, TN, 
149404, EAST OF 21 NEELY, MEMPHIS, TN, 
149405, EAST OF 2884 FILMORE, MEMPHIS, TN, 
149406, EAST OF MENDENHALL AND NOTTH OF SANDANLIN, MEMPHIS, TN, 
149407, EAST OF TULANE AND SOUTH OF BROCKWOOD, MEMPHIS, TN, 
149408, EAST OLIVE AND DRIVER, MEMPHIS, TN, 
149409, EAST PARKWAY AND POPLAR AVE, MEMPHIS, TN, 
149410, EAST PARKWAY N AND SAM COOPER, MEMPHIS, TN, 
149411, EAST PARKWAY S AND CENTRAL, MEMPHIS, TN, 
149412, EAST PERSON AND BARTON, MEMPHIS, TN, 
149413, EAST PERSON AND EAST DISON, MEMPHIS, TN, 
149414, EAST PERSON AND GLORY CIRCLE, MEMPHIS, TN, 
149415, EAST PERSON AND LAURDALE, MEMPHIS, TN, 
149416, EAST PERSON AND MAIN, MEMPHIS, TN, 
149417, EAST PERSON AND RAYNER, MEMPHIS, TN, 
149418, EAST PERSON AVE AND SOUTH COOPER ST, MEMPHIS, TN, 
