32444, 1700 ROBIN HOOD, MEMPHIS, TN, 
32445, 1700 S MAIN ST, MEMPHIS, TN, 
32446, 1700 S PRESCOTT RD, MEMPHIS, TN, 
32447, 1700 SOUTH HIGHLAND, MEMPHIS, TN, 
32448, 1700 SOUTH PKWY, MEMPHIS, TN, 
32449, 1700 SYCAMORE VW, MEMPHIS, TN, 
32450, 1700 THIRD, MEMPHIS, TN, 
32451, 1700 THOMAS, MEMPHIS, TN, 
32452, 1700 VERA CRUZ ST, MEMPHIS, TN, 
32453, 1700 WHITEWATER RD, MEMPHIS, TN, 
32454, 1700 WHITMAN, MEMPHIS, TN, 
32455, 1700 WINBRANCH, MEMPHIS, TN, 
32456, 1700 WINCHESTER AVE, MEMPHIS, TN, 
32457, 1800 AARON BRENNER DR, MEMPHIS, TN, 
32458, 1800 AARON BRENNER, MEMPHIS, TN, 
32459, 1800 BARCREST, MEMPHIS, TN, 
32460, 1800 BELLEVUE GROVE CV, MEMPHIS, TN, 
32461, 1800 BERWIND RD, MEMPHIS, TN, 
32462, 1800 CARRUTHERS, MEMPHIS, TN, 
32463, 1800 CASTILIA, MEMPHIS, TN, 
32464, 1800 CHEROKEE ST, MEMPHIS, TN, 
32465, 1800 CLEOFORD AVE, MEMPHIS, TN, 
32466, 1800 COLEBROOK, MEMPHIS, TN, 
32467, 1800 DEXTER OAKS, MEMPHIS, TN, 
32468, 1800 DEXTER SPRING LOOP, MEMPHIS, TN, 
32469, 1800 E SILVER, MEMPHIS, TN, 
32470, 1800 GLENWOOD PLACE, MEMPHIS, TN, 
32471, 1800 GRAGGLAND CIR, MEMPHIS, TN, 
32472, 1800 GREEN DOLPHIN ST, MEMPHIS, TN, 
32473, 1800 GREENVIEW CR, MEMPHIS, TN, 
32474, 1800 HUNTERS BLUFF DR, MEMPHIS, TN, 
32475, 1800 HUNTERS TRACE DR, MEMPHIS, TN, 
32476, 1800 JAMES, MEMPHIS, TN, 
32477, 1800 KANSAS ST, MEMPHIS, TN, 
