18302, OLD HENRY RD / OLD HENRY TRL, LOUISVILLE, KY, 40245
18303, OLD HENRY RD / TERRA CROSSING BLVD, LOUISVILLE, KY, 40245
18304, OWEN ST / SHORT ST, LOUISVILLE, KY, 40212
18305, PADDOCK CT / PADDOCK LN, LOUISVILLE, KY, 40216
18306, PALATKA RD / SUNNYBROOK DR, LOUISVILLE, KY, 40214
18307, PALATKA RD, LOUISVILLE, KY, 40214
18308, PARK - FERN CREEK PARK, LOUISVILLE, KY, 40291
18309, PARK - RIVERSIDE GARDENS PARK, LOUISVILLE, KY, 40216
18310, PARK - WAVERLY PARK, LOUISVILLE, KY, 40214
18311, PEABODY CT / PEABODY LN, LOUISVILLE, KY, 40218
18312, PEE WEE REESE RD / ROCK CREEK DR, LOUISVILLE, KY, 40207
18313, PEE WEE REESE RD / TAYLORSVILLE RD, LOUISVILLE, KY, 40205
18314, PHILLIPS LN, LOUISVILLE, KY, 40213
18315, PIGEON PASS RD / PRESTON HWY, LOUISVILLE, KY, 40213
18316, PLACE D'OR / QUEST DR, LOUISVILLE, KY, 40203
18317, PLACE D`OR / QUEST DR, LOUISVILLE, KY, 40203
18318, POITIER CT / UNSELD BLVD, LOUISVILLE, KY, 40218
18319, POND STATION RD / STONESTREET RD, LOUISVILLE, KY, 40272
18320, POPLAR LEVEL RD / I 264 RAMP, LOUISVILLE, KY, 40213
18321, POPLAR PARK BLVD / SHEPHERDSVILLE RD, LOUISVILLE, KY, 40228
18322, PRESTON HWY / I65N, LOUISVILLE, KY, 40213
18323, PRESTON HWY / SERENITY HOPE DR, LOUISVILLE, KY, 40219
18324, PRESTON HWY / SHORT ST, LOUISVILLE, KY, 40213
18325, PRESTON HWY N / I265, LOUISVILLE, KY, 40229
18326, RAINBOW SPRINGS CT / WEISSINGER RD, LOUISVILLE, KY, 40241
18327, RALPH AVE / I264, LOUISVILLE, KY, 40211
18328, RANGELAND RD, LOUISVILLE, KY, 40228
18329, REVERE DR / RUSSETT BLVD, LOUISVILLE, KY, 40218
18330, RIVERWOOD DR / ZORN AVE, LOUISVILLE, KY, 40206
18331, ROBERTS AVE / SOUTHSIDE DR, LOUISVILLE, KY, 40214
18332, ROBISON PARK, LOUISVILLE, KY, 40222
18333, ROCHESTER DR / SOUTHSIDE DR, LOUISVILLE, KY, 40214
18334, S 10TH ST / PLACE JAUNE, LOUISVILLE, KY, 40203
18335, S 10TH ST / W MAGNOLIA AVE, LOUISVILLE, KY, 40210
18336, S 10TH ST / W OAK ST, LOUISVILLE, KY, 40210
18337, S 15TH ST / OLDHAM ST, LOUISVILLE, KY, 40210
18338, S 15TH ST / ST LOUIS AVE, LOUISVILLE, KY, 40210
18339, S 16TH ST / ANDERSON ST, LOUISVILLE, KY, 40210
18340, S 1ST ST / E FAIRMONT AVE, LOUISVILLE, KY, 40214
18341, S 1ST ST / E GARRETT ST, LOUISVILLE, KY, 40214
18342, S 1ST ST / W BRECKINRIDGE ST, LOUISVILLE, KY, 40203
18343, S 1ST ST / W MAIN ST, LOUISVILLE, KY, 40202
18344, S 1ST ST, LOUISVILLE, KY, 40214
18345, S 20TH ST / PIRTLE ST, LOUISVILLE, KY, 40203
18346, S 22ND ST / PIRTLE ST, LOUISVILLE, KY, 40212
18347, S 23RD ST / W GAULBERT AVE, LOUISVILLE, KY, 40210
18348, S 25TH ST / WOODLAND AVE, LOUISVILLE, KY, 40210
18349, S 26TH ST / W KENTUCKY ST, LOUISVILLE, KY, 40210
18350, S 2ND ST / HARLAN AVE, LOUISVILLE, KY, 40214
18351, S 2ND ST / SOUTHSIDE DR, LOUISVILLE, KY, 40214
18352, S 2ND ST / W AMHERST AVE, LOUISVILLE, KY, 40214
18353, S 38TH ST / SUNSET AVE, LOUISVILLE, KY, 40211
18354, S 39TH ST / ALGONQUIN PKY, LOUISVILLE, KY, 40211
18355, S 39TH ST / HERMAN ST, LOUISVILLE, KY, 40212
18356, S 3RD ST / W KENWOOD WAY, LOUISVILLE, KY, 40214
18357, S 40TH ST / ELLIOTT AVE, LOUISVILLE, KY, 40211
18358, S 42ND ST / LARKWOOD AVE, LOUISVILLE, KY, 40212
18359, S 43RD ST / ELLIOTT AVE, LOUISVILLE, KY, 40211
