4292, 600 SCHOLAR HOUSE CT, LOUISVILLE, KY, 40217
4293, 6300 RIVER RD, LOUISVILLE, KY, 40059
4294, 700 BERMUDA LN, LOUISVILLE, KY, 40213
4295, 700 IROQUOIS AVE, LOUISVILLE, KY, 40214
4296, 700 S 31ST ST, LOUISVILLE, KY, 40211
4297, 700 S BARBEE WAY, LOUISVILLE, KY, 40217
4298, 700 SPECKERT CT, LOUISVILLE, KY, 40203
4299, 7300 DUNKIRK LN, LOUISVILLE, KY, 40272
4300, 7900 BRIARCLIFF RD, LOUISVILLE, KY, 40219
4301, 800 E GRAY ST, LOUISVILLE, KY, 40204
4302, 8500 COCO CT, LOUISVILLE, KY, 40219
4303, 8800 DIXIE HWY, LOUISVILLE, KY, 40258
4304, 9500 CEDAR LAKE DR, LOUISVILLE, KY, 40291
4305, 9500 LA GRANGE RD, LOUISVILLE, KY, 40242
4306, ARMORY PL / W MUHAMMAD ALI BLVD, LOUISVILLE, KY, 40202
4307, BRENT ST / E BROADWAY, LOUISVILLE, KY, 40204
4308, CARLISLE AVE, LOUISVILLE, KY, 40215
4309, E BRECKINRIDGE ST / S CLAY ST, LOUISVILLE, KY, 40203
4310, E MAIN ST / N PRESTON ST, LOUISVILLE, KY, 40202
4311, ELDERWOOD WAY / MANSLICK RD, LOUISVILLE, KY, 40215
4312, FAIRDALE RD / MOUNT HOLLY RD, LOUISVILLE, KY, 40118
4313, N 25TH ST / BANK ST, LOUISVILLE, KY, 40212
4314, N 25TH ST / ROWAN ST, LOUISVILLE, KY, 40212
4315, POPLAR LEVEL RD / TAYLOR AVE, LOUISVILLE, KY, 40213
4316, S 19TH ST / W JEFFERSON ST, LOUISVILLE, KY, 40203
4317, S 32ND ST / GRAND AVE, LOUISVILLE, KY, 40211
4318, S 32ND ST / VIRGINIA AVE, LOUISVILLE, KY, 40211
4319, S 3RD ST / W GAULBERT AVE, LOUISVILLE, KY, 40208
4320, SHEPHERDSVILLE RD / WHISPERING HILLS BLVD, LOUISVILLE, KY, 40219
4321, 1 VALLEY RD, LOUISVILLE, KY, 40204
4322, 1 WELBY RD, LOUISVILLE, KY, 40216
4323, 100 PENNSYLVANIA AVE, LOUISVILLE, KY, 40206
4324, 100 S 45TH ST, LOUISVILLE, KY, 40212
4325, 1000 SOUTHWESTERN PKY, LOUISVILLE, KY, 40211
4326, 10500 MILLERS LN, LOUISVILLE, KY, 40272
4327, 10700 ASHLEY POINTE DR, LOUISVILLE, KY, 40272
4328, 1100 LOUIS COLEMAN JR DR, LOUISVILLE, KY, 40211
4329, 1100 MILTON ST, LOUISVILLE, KY, 40217
4330, 11600 LOWER RIVER RD, LOUISVILLE, KY, 40272
4331, 11700 DEARING WOODS DR, LOUISVILLE, KY, 40272
4332, 1200 BROOKLINE AVE, LOUISVILLE, KY, 40215
4333, 1200 CLEO AVE, LOUISVILLE, KY, 40213
4334, 1200 W CHESTNUT ST, LOUISVILLE, KY, 40203
4335, 12500 SYCAMORE STATION PL, LOUISVILLE, KY, 40299
4336, 1300 EASTERN PKY, LOUISVILLE, KY, 40204
4337, 1400 BRIDGET DR, LOUISVILLE, KY, 40118
4338, 1400 HOBART DR, LOUISVILLE, KY, 40216
4339, 1500 INDIANA AVE, LOUISVILLE, KY, 40213
4340, 1500 MELLWOOD AVE, LOUISVILLE, KY, 40206
4341, 1600 CHERRY WAY, LOUISVILLE, KY, 40216
4342, 1600 LINDA WAY, LOUISVILLE, KY, 40216
4343, 1600 W BRECKINRIDGE ST, LOUISVILLE, KY, 40210
4344, 1700 LANG CT, LOUISVILLE, KY, 40211
4345, 1800 BEECH ST, LOUISVILLE, KY, 40210
4346, 1900 TREVILIAN WAY, LOUISVILLE, KY, 40205
4347, 2200 MAPLE ST, LOUISVILLE, KY, 40211
4348, 2300 MAPLE ST, LOUISVILLE, KY, 40211
4349, 2400 EMIL AVE, LOUISVILLE, KY, 40217
4350, 2500 BOLLING AVE, LOUISVILLE, KY, 40210
4351, 2600 BENOCH AVE, LOUISVILLE, KY, 40216
4352, 2600 LAMBORNE BLVD, LOUISVILLE, KY, 40272
4353, 2700 LINDSAY AVE, LOUISVILLE, KY, 40206
4354, 300 GLEN ELLEN RD, LOUISVILLE, KY, 40118
4355, 3000 HARTLAGE CT, LOUISVILLE, KY, 40216
4356, 3200 ELLIS WAY, LOUISVILLE, KY, 40220
4357, 3300 SCHNEITER AVE, LOUISVILLE, KY, 40215
4358, 3500 WINNLAND DR, LOUISVILLE, KY, 40219
4359, 3600 GRAND AVE, LOUISVILLE, KY, 40211
4360, 3600 W JEFFERSON ST, LOUISVILLE, KY, 40212
4361, 3700 WILLMAR AVE, LOUISVILLE, KY, 40218
4362, 3900 POPLAR LEVEL RD, LOUISVILLE, KY, 40213
4363, 3RD STREET RD / STONESTREET RD, LOUISVILLE, KY, 40272
4364, 400 GHEENS AVE, LOUISVILLE, KY, 40214
4365, 400 S 1ST ST, LOUISVILLE, KY, 40202
4366, 400 S 29TH ST, LOUISVILLE, KY, 40212
