address_string,n,coords,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country,Source
"CHESTNUT TRAFFICWAY and INDEPENDENCE AVENUE, KANSAS CITY, MO, 64124",22,,39.107315,-94.54836,0.89,intersection,,"Chestnut Trfy","Kansas City",MO,"Jackson County",64124,US,"TIGER/Line® dataset from the US Census Bureau"
"10900 STATE LINE ROAD, KANSAS CITY, MO, 64114",21,,38.930871,-94.607883,0.9,range_interpolation,10900,"State Line Rd","Kansas City",MO,"Jackson County",64114,US,"TIGER/Line® dataset from the US Census Bureau"
"CLEVELAND AVENUE and E GREGORY BOULEVARD, KANSAS CITY, MO, 64130",21,,38.998307,-94.54288,0.9,intersection,,"Cleveland Ave","Kansas City",MO,"Jackson County",64132,US,"TIGER/Line® dataset from the US Census Bureau"
"E 23 STREET and PROSPECT AVENUE, KANSAS CITY, MO, 64127",21,,39.084558,-94.552135,1,intersection,,"E 23rd St","Kansas City",MO,"Jackson County",64127,US,"TIGER/Line® dataset from the US Census Bureau"
"INDIANA AVENUE and E LINWOOD BOULEVARD, KANSAS CITY, MO, 64127",21,,39.067736,-94.54372,0.33,intersection,,"Indiana Ave","Kansas City",MO,"Jackson County",64128,US,"TIGER/Line® dataset from the US Census Bureau"
"1600 BROADWAY BOULEVARD, KANSAS CITY, MO, 64106",20,,39.095185,-94.588983,0.9,rooftop,1600,"Broadway Blvd","Kansas City",MO,"Jackson County",64108,US,"City of Kansas City"
"4000 BLUE RIDGE COURT, KANSAS CITY, MO, 64130",20,,39.036078,-94.539749,1,range_interpolation,4000,"State Hwy 350","Kansas City",MO,"Jackson County",64130,US,"TIGER/Line® dataset from the US Census Bureau"
"6200 STREET JOHN AVENUE, KANSAS CITY, MO, 64124",20,,39.107504,-94.538531,0.33,place,,,"Kansas City",MO,"Jackson County",64124,US,"TIGER/Line® dataset from the US Census Bureau"
"ARCHIBALD AVENUE and CENTRAL STREET, KANSAS CITY, MO, 64111",20,,39.05302,-94.588625,1,intersection,,"Archibald Ave","Kansas City",MO,"Jackson County",64111,US,"TIGER/Line® dataset from the US Census Bureau"
"BENTON BOULEVARD and LOCKRIDGE STREET, KANSAS CITY, MO, 64127",20,,39.075883,-94.549043,0.7,intersection,,"Benton Blvd","Kansas City",MO,"Jackson County",64128,US,"TIGER/Line® dataset from the US Census Bureau"
"E 28 STREET and PROSPECT AVENUE, KANSAS CITY, MO, 64127",20,,39.074891,-94.552585,0.9,intersection,,"E 28th St","Kansas City",MO,"Jackson County",64128,US,"TIGER/Line® dataset from the US Census Bureau"
"E 43 STREET and PROSPECT AVENUE, KANSAS CITY, MO, 64127",20,,39.048245,-94.553967,0.9,intersection,,"E 43rd St","Kansas City",MO,"Jackson County",64130,US,"TIGER/Line® dataset from the US Census Bureau"
"E 53 STREET and BRUCE R WATKINS DR, KANSAS CITY, MO, 64130",20,,39.030063,-94.5528,0.5,intersection,,"E 53rd St","Kansas City",MO,"Jackson County",64130,US,"TIGER/Line® dataset from the US Census Bureau"
"EMANUEL CLEAVER II BOULEVARD and TROOST AVENUE, KANSAS CITY, MO, 64110",20,,39.041668,-94.572941,0.8,intersection,,"E Emanuel Cleaver Ii Blvd","Kansas City",MO,"Jackson County",64110,US,"TIGER/Line® dataset from the US Census Bureau"
"INDEPENDENCE AVENUE and MAPLE BOULEVARD, KANSAS CITY, MO, 64106",20,,39.106573,-94.558588,0.9,intersection,,"Independence Ave","Kansas City",MO,"Jackson County",64124,US,"TIGER/Line® dataset from the US Census Bureau"
"INDEPENDENCE AVENUE and MONROE AVENUE, KANSAS CITY, MO, 64127",20,,39.105841,-94.537657,0.9,intersection,,"Independence Ave","Kansas City",MO,"Jackson County",64124,US,"TIGER/Line® dataset from the US Census Bureau"
"LEEDS TRAFFICWAY and STADIUM DR, KANSAS CITY, MO, 64130",20,,39.057368,-94.513426,0.74,intersection,,"Leeds Trfy","Kansas City",MO,"Jackson County",64128,US,"TIGER/Line® dataset from the US Census Bureau"
"100 E 12 STREET, KANSAS CITY, MO, 64106",19,,39.194804,-94.680759,0.9,range_interpolation,100,"E 12th St","Kansas City",MO,"Platte County",64152,US,"TIGER/Line® dataset from the US Census Bureau"
"1000 BROADWAY BOULEVARD, KANSAS CITY, MO, 64106",19,,39.102245,-94.588545,0.9,rooftop,1000,"Broadway Blvd","Kansas City",MO,"Jackson County",64105,US,Jackson
"10500 HICKMAN MILLS DR, KANSAS CITY, MO, 64134",19,,38.934959,-94.528394,0.9,rooftop,10500,"Hickman Mills Dr","Kansas City",MO,"Jackson County",64137,US,Jackson
"3800 BLUE RIDGE COURT, KANSAS CITY, MO, 64129",19,,39.052995,-94.451695,0.5,rooftop,3800,"Blue Ridge Blvd",Independence,MO,"Jackson County",64052,US,Jackson
"5500 E TRUMAN ROAD, KANSAS CITY, MO, 64126",19,,39.093325,-94.496629,0.6,street_center,,"E Truman Rd","Kansas City",MO,"Jackson County",64126,US,"TIGER/Line® dataset from the US Census Bureau"
