address_string,n,coords,google_lat,google_lon,centroid
"E 9 STREET and VAN BRUNT BOULEVARD, KANSAS CITY, MO, 64123",10,"39.1017088,-94.5259507",39.1017088,-94.5259507,FALSE
"E ARMOUR BOULEVARD and HARRISON STREET, KANSAS CITY, MO, 64106",10,"39.063289,-94.572903",39.063289,-94.572903,FALSE
"E GREGORY BOULEVARD and OAKWOOD DR, KANSAS CITY, MO, 64130",10,"38.999583,-94.587247",38.999583,-94.587247,FALSE
"ELMWOOD AVENUE and INDEPENDENCE AVENUE, KANSAS CITY, MO, 64124",10,"39.1055424,-94.527966",39.1055424,-94.527966,FALSE
"EMANUEL CLEAVER II BOULEVARD and MAIN STREET, KANSAS CITY, MO, 64111",10,"39.0421005,-94.5865947",39.0421005,-94.5865947,FALSE
"EMANUEL CLEAVER II BOULEVARD and MAIN STREET, KANSAS CITY, MO, 64130",10,"39.0421005,-94.5865947",39.0421005,-94.5865947,FALSE
"EMANUEL CLEAVER II BOULEVARD and TROOST AVENUE, KANSAS CITY, MO, 64110",10,"39.0416628,-94.5729531",39.0416628,-94.5729531,FALSE
"GARFIELD AVENUE and INDEPENDENCE AVENUE, KANSAS CITY, MO, 64123",10,"39.1065377,-94.5571527",39.1065377,-94.5571527,FALSE
"GRAND BOULEVARD and E TRUMAN ROAD, KANSAS CITY, MO, 64106",10,"39.0963224,-94.5810822",39.0963224,-94.5810822,FALSE
"INDEPENDENCE AND SPRUCE AVE, KANSAS CITY, MO, 64126",10,"39.1056503,-94.5314668",39.1056503,-94.5314668,FALSE
"INDEPENDENCE AVENUE and MONROE AVENUE, KANSAS CITY, MO, 64127",10,"39.1058538,-94.5376854",39.1058538,-94.5376854,FALSE
"INDEPENDENCE AVENUE and PARK AVENUE, KANSAS CITY, MO,",10,"39.1064337,-94.5544358",39.1064337,-94.5544358,FALSE
"NE CHOUTEAU TRAFFICWAY and NE PARVIN ROAD, KANSAS CITY, MO, 64119",10,"39.1622902,-94.5323676",39.1622902,-94.5323676,FALSE
"PASEO and E TRUMAN ROAD, KANSAS CITY, MO, 64127",10,"39.0942167,-94.5378172",39.0942167,-94.5378172,FALSE
"PROSPECT AVENUE and E TRUMAN ROAD, KANSAS CITY, MO, 64124",10,"39.0947518,-94.5516283",39.0947518,-94.5516283,FALSE
"ROYAL WAY and STADIUM DR, KANSAS CITY, MO, 64133",10,"39.0546951,-94.4862261",39.0546951,-94.4862261,FALSE
"THOMPSON AVENUE and VAN BRUNT BOULEVARD, KANSAS CITY, MO, 64125",10,"39.1072727,-94.5259789",39.1072727,-94.5259789,FALSE
