id,o_address,o_city,o_state,o_zip,status,quality,m_address,m_city,m_state,m_zip,long,lat,not_sure,L_R
25962,6100 STANNYE DR,LOUISVILLE,KY,40222,Match,Exact,6100 Stannye Dr,LOUISVILLE,KY,40222,-85.640434,38.287983,96854473,R
25723,4600 TAYLOR BLVD,LOUISVILLE,KY,40214,Match,Non_Exact,4600 Taylor Blvd,LOUISVILLE,KY,40215,-85.782196,38.173393,96848694,R
25965,6200 ANIWA RD,LOUISVILLE,KY,40214,Match,Exact,6200 Aniwa Rd,LOUISVILLE,KY,40214,-85.80712,38.161667,96870512,L
25722,4600 SANDERS LN,LOUISVILLE,KY,40216,Match,Exact,4600 Sanders Ln,LOUISVILLE,KY,40216,-85.80922,38.174263,96847979,R
25964,619 M ST,LOUISVILLE,KY,NA,No_Match,,,,,,,,,
25725,4700 ARNOLD AVE,LOUISVILLE,KY,40219,Match,Exact,4700 Arnold Ave,LOUISVILLE,KY,40219,-85.675064,38.131744,96859312,R
25967,6200 APPLEGATE LN,LOUISVILLE,KY,40228,Match,Non_Exact,6200 Applegate Ln,LOUISVILLE,KY,40219,-85.6477,38.13331,96860530,R
25724,4700 ABERCORNE TER,LOUISVILLE,KY,40241,Match,Exact,4700 Abercorne Ter,LOUISVILLE,KY,40241,-85.59521,38.314682,96939259,L
25966,6200 ANIWA,LOUISVILLE,KY,40214,Match,Non_Exact,6200 Aniwa Rd,LOUISVILLE,KY,40214,-85.80712,38.161667,96870512,L
25738,4700 ROCKFORD PLZ,LOUISVILLE,KY,NA,No_Match,,,,,,,,,
25737,4700 QUINN DR,LOUISVILLE,KY,NA,No_Match,,,,,,,,,
25979,6200 VALLEY FOREST DR,LOUISVILLE,KY,40218,No_Match,,,,,,,,,
25739,4700 WALDEN DR,LOUISVILLE,KY,40229,Match,Exact,4700 Walden Dr,LOUISVILLE,KY,40229,-85.67406,38.10074,96859594,R
25730,4700 GRASTON AVE,LOUISVILLE,KY,NA,No_Match,,,,,,,,,
25972,6200 GLEN HILL RD,LOUISVILLE,KY,40222,Match,Exact,6200 Glen Hill Rd,LOUISVILLE,KY,40222,-85.635544,38.296932,96840472,R
25971,6200 FERN VALLEY PASS,LOUISVILLE,KY,40228,Match,Exact,6200 Fern Valley Pass,LOUISVILLE,KY,40228,-85.65124,38.158455,96886290,R
25732,4700 KENROSE LN,LOUISVILLE,KY,40216,Match,Exact,4700 Kenrose Ln,LOUISVILLE,KY,40216,-85.82891,38.175865,635343074,R
25974,6200 GUTHRIE BEACH RD,LOUISVILLE,KY,40059,No_Match,,,,,,,,,
25731,4700 HOPEWELL RD,LOUISVILLE,KY,40299,Tie,,,,,,,,,
25973,6200 GLOBAL DISTRIBUTION WAY,LOUISVILLE,KY,40228,No_Match,,,,,,,,,
25734,4700 MARIS LN,LOUISVILLE,KY,40241,Match,Exact,4700 Maris Ln,LOUISVILLE,KY,40241,-85.595215,38.31396,96969932,L
25976,6200 MOCKINGBIRD LN,LOUISVILLE,KY,40272,Match,Exact,6200 Mockingbird Ln,LOUISVILLE,KY,40272,-85.87886,38.076527,96861530,R
25733,4700 KIEFER RD,LOUISVILLE,KY,40216,Match,Exact,4700 Kiefer Rd,LOUISVILLE,KY,40216,-85.83202,38.178623,620595492,R
25975,6200 LEDGEWOOD PKWY,LOUISVILLE,KY,40214,Match,Exact,6200 Ledgewood Pkwy,LOUISVILLE,KY,40214,-85.79931,38.16161,96848317,R
25736,4700 NAPA RIDGE CT,LOUISVILLE,KY,40299,Match,Exact,4700 Napa Ridge Ct,LOUISVILLE,KY,40299,-85.56963,38.176346,96930048,R
25978,6200 TWO SPRINGS LN,LOUISVILLE,KY,40207,Match,Exact,6200 Two Springs Ln,LOUISVILLE,KY,40207,-85.63673,38.271744,96894767,R
25735,4700 MURPHY LN,LOUISVILLE,KY,40241,Match,Exact,4700 Murphy Ln,LOUISVILLE,KY,40241,-85.54007,38.312878,618719927,L
25977,6200 ROUTT RD,LOUISVILLE,KY,40299,Tie,,,,,,,,,
25970,6200 ELIZABETH AVE,LOUISVILLE,KY,40272,Match,Non_Exact,6200 Elizabeth St,LOUISVILLE,KY,40272,-85.87951,38.078808,96861525,R
25705,4500 MILBARB LN,LOUISVILLE,KY,40216,Match,Exact,4500 Milbarb Ln,LOUISVILLE,KY,40216,-85.840004,38.18165,96838470,R
25947,6000 GLEN HILL RD,LOUISVILLE,KY,40222,Match,Exact,6000 Glen Hill Rd,LOUISVILLE,KY,40222,-85.6389,38.29518,96854444,R
25704,4500 LYNNBROOK DR,LOUISVILLE,KY,40220,Match,Exact,4500 Lynnbrook Dr,LOUISVILLE,KY,40220,-85.618385,38.23291,618688600,R
25946,6000 BIG BEN DR,LOUISVILLE,KY,40291,No_Match,,,,,,,,,
25707,4500 SANTA PAULA LN,LOUISVILLE,KY,40219,Match,Exact,4500 Santa Paula Ln,LOUISVILLE,KY,40219,-85.677086,38.135307,623952959,R
25949,6000 POPLAR LEVEL RD,LOUISVILLE,KY,40228,Match,Exact,6000 Poplar Level Rd,LOUISVILLE,KY,40228,-85.64834,38.15843,619889895,R
25706,4500 SALVATORE WAY,LOUISVILLE,KY,40241,No_Match,,,,,,,,,
25948,6000 JEFFERSON BLVD,LOUISVILLE,KY,40219,No_Match,,,,,,,,,
25709,4500 TAYLORSVILLE LAKE RD,LOUISVILLE,KY,40023,Match,Non_Exact,4500 Taylorsville Lake Rd,WILSONVILLE,KY,40023,-85.4628,38.17611,96908757,R
25708,4500 STATTON RD,LOUISVILLE,KY,40220,Match,Exact,4500 Statton Rd,LOUISVILLE,KY,40220,-85.615555,38.226208,96857191,R
25941,600 TUCKER STATION RD,LOUISVILLE,KY,40243,Match,Exact,600 Tucker Station Rd,LOUISVILLE,KY,40243,-85.53105,38.23384,96865855,R
