BLOCK_ADDRESS,2009,2010,2011,2012,2013,2014,2015,2016,2017,Total
HOSTA LN / INDIGO DR,,,1,,,,,,,1
HOWARD POOLE ALY / W ST CATHERINE ST,,1,,,,,,,,1
HUBERTA DR / LEMMAH DR,,,,1,,,,,,1
HULL ST / BISHOP ST,,1,,,,,,,,1
HUMBOLDT PL / ROCKERY WAY,,,,1,,,,,,1
HUMBOLDT PL / SHELBURNE CIR,,,1,,,,,,,1
HUNSINGER / TAYLORSVILLE,1,,,,,,,,,1
HUNSINGER LN / HUNSINGER WOODS PL,1,,,,,,,,,1
HUNSINGER LN / TEMPSCLAIR RD,1,,,,,,,,,1
HUNT CLUB LN / 3RD STREET RD,,1,,,,,,,,1
HUNTERS CHASE LN / MARAVIAN DR,1,,,,,,,,,1
HUNTINGTON PARK DR,,,,1,,,,,,1
HUNTINGTON RD / OLD CANNONS LN,,,,,,,,,1,1
HUNTOON AVE / LANCASTER AVE,,1,,,,,,,,1
HUNTSMAN TRL / STONE BROOK DR,1,,,,,,,,,1
HURSTBOURNE CROSSINGS DR / STONY RIDGE RD,,,1,,,,,,,1
HURSTBOURNE GEM LN / SHANE DR,,,,1,,,,,,1
HURSTBOURNE SPRINGS DR / RAINTREE DR,,,,1,,,,,,1
HUSTON QUIN PARK,,,,,,,,,1,1
I 0064W @ INTERSTATE 71 SPLIT,,,,,,,,1,,1
I 0065 (SB) / 129.2 MM,,,,,,,,,1,1
I 0071 (SB) / 2.9 MM,,,,,,,,,1,1
I 0264 @ 65,,,,,,,,,1,1
I 0264 / CRITTENDEN DR,1,,,,,,,,,1
I 0264 MM16,,,,,,,1,,,1
I 0264/ CANE RUN RD,,,,,,,,,1,1
I 0264// BROWNSBORO,,1,,,,,,,,1
I 0264E @ 8 MM,,,,,,,,1,,1
I 0264E 8,,,,,,,,1,,1
I 0265 MM22.4,,,,,,,,,1,1
I 0265 N/B & PRESTON HWY,,1,,,,,,,,1
I 264 EAST / SHELBYVILLE RD,,,,,,,1,,,1
I 264 RAMP / BRECKENRIDGE LN,1,,,,,,,,,1
I 264 RAMP / I 71 SOUTH,1,,,,,,,,,1
I 264 RAMP / RICE AVE,1,,,,,,,,,1
I 264 RAMP / TERMINAL DR,1,,,,,,,,,1
I 264 RAMP / VERMONT AVE,1,,,,,,,,,1
I 264 WEST,1,,,,,,,,,1
I 264E RAMP / I64E,,,,,,,1,,,1
I 265 NORTH / KY 841,,,,,,,,,1,1
I 265 RAMP / BILLTOWN RD,,,1,,,,,,,1
I 265 RAMP / NELSON MILLER PKY,1,,,,,,,,,1
I 265 SOUTH / I 64 RAMP,,,,,,,,,1,1
I 64 RAMP / BLANKENBAKER PKY,,,1,,,,,,,1
I 64 RAMP / CANNONS LN,,1,,,,,,,,1
I 64 RAMP / LEXINGTON RD,,,,1,,,,,,1
I 64 RAMP / N 3RD ST,1,,,,,,,,,1
I 64 RAMP / NORTHWESTERN PKY,1,,,,,,,,,1
I 64 RAMP / ROY WILKINS AVE,,,,,,1,,,,1
I 64 RAMP / W MARKET ST,,,,,1,,,,,1
I 64 WEST / I 64 RAMP,,,,,,,,1,,1
I 65 NORTH / PRESTON HWY,,,,,,1,,,,1
I 65 RAMP / E LIBERTY ST,1,,,,,,,,,1
I 65 RAMP / E MAGNOLIA AVE,,,,1,,,,,,1
I 65 RAMP / MINOR LN,,,1,,,,,,,1
I 65 RAMP / S BROOK ST,,,1,,,,,,,1
I 65 RAMP / S FLOYD ST,1,,,,,,,,,1
I 71 SOUTH / I 71 RAMP,1,,,,,,,,,1
I-65 N/B / FERN VALLEY,,,,,,,1,,,1
I264 E EXIT14 OFF RAMP/POPLAR LEVEL,,,,,,,,,1,1
I264E / CRITTENDEN DR S,1,,,,,,,,,1
I264E / HWY 42,,1,,,,,,,,1
I264E / I64 WE,,,,,,,,,1,1
I264E / I64W EE,,,,,1,,,,,1
I264E / LOUISVILLE AVE,,,,1,,,,,,1
I264E / S 3RD ST,,,,1,,,,,,1
I264E / TAYLORSVILLE RD N,,,,,,,,1,,1
I264E / VERMONT AVE,,,,,,,1,,,1
I264E EXIT 12,,,,,,,,,1,1
I264E EXIT 12.6,,,,,,,1,,,1
I264E EXIT 12.8,,,,,,,,1,,1
I264E EXIT 16,,,,,,1,,,,1
I264E EXIT 17,,,,,,,,1,,1
I264E EXIT 19,,,,,,,,,1,1
I264E EXIT 2.2,,,,,1,,,,,1
I264E EXIT 2.6,,,,,1,,,,,1
I264E EXIT 3,,,,,,1,,,,1
I264E EXIT 3.2,,,,,,,,1,,1
I264E EXIT 8,,,,,,1,,,,1
I264W / BANK ST,,1,,,,,,,,1
I264W / BRECKENRIDGE LN N,,1,,,,,,,,1
I264W / BRECKENRIDGE LN S,,,,,,,,1,,1
I264W / DIXIE HWY S,,,,,,,1,,,1
I264W / FAIRGROUNDS,,,1,,,,,,,1
I264W / LOUISVILLE AVE,1,,,,,,,,,1
I264W / S 3RD ST,,,,,,,,1,,1
I264W / TAYLORSVILLE RD S,,,1,,,,,,,1
I264W EXIT 1,,,,,,,1,,,1
I264W EXIT 12,,,,,,,,,1,1
I264W EXIT 12.8,,,,,1,,,,,1
I264W EXIT 13.4,,,,,1,,,,,1
I264W EXIT 2.6,,,,,1,,,,,1
I264W EXIT 20,,,,,,,1,,,1
I264W EXIT 5,,,,,,,,1,,1
I265 / BARDSTOWN,1,,,,,,,,,1
I265 / DIXIE,,,,,,1,,,,1
I265 / LAGRANGE,,,1,,,,,,,1
I265 N EXIT30 OFF RAMP KY146,,,,,,,,1,,1
I265E / NEW CUT RD,1,,,,,,,,,1
I265E / WESTPORT,1,,,,,,,,,1
I265N @ NEW CUT RD,,,,,,,1,,,1
I265N / OLD HEADY RD,1,,,,,,,,,1
I265N / PENNSYLVANIA RUN RD,,,,,,,,1,,1
I265N / PRESTON HWY N,1,,,,,,,,,1
I265N / TAYLORSVILLE RD E,,,,,,,1,,,1
I265N / TAYLORSVILLE RD W,,,,,,,1,,,1
I265N EXIT 10.4,,,,,,,,,1,1
I265N EXIT 3.2,,,,,1,,,,,1
I265N EXIT 7.8,,,,,,,,1,,1
I265S / BLUE LICK RD,,,1,,,,,,,1
I265S / I64E,1,,,,,,,,,1
I265S / I71N,1,,,,,,,,,1
I265S / OLD HEADY RD,,1,,,,,,,,1
I265S / PENNSYLVANIA RUN RD,,,,,,,,1,,1
I265S / REHL RD,,,1,,,,,,,1
I265S / WOLF PEN BRANCH RD,1,,,,,,,,,1
I265S EXIT 1,,,,,,1,,,,1
I265S EXIT 10,,,,,,,,,1,1
I265S EXIT 14.2,,,,,,,1,,,1
I265S EXIT 17,,,,,,,,,1,1
I265S EXIT 22,,,,,,,,,1,1
I265S EXIT 25,,,,,1,,,,,1
I265S EXIT 25.8,,,,,,,,,1,1
I265S EXIT 26.8,,,,,,,,1,,1
I265S EXIT 3,,,,,,1,,,,1
I265S EXIT 3.2,,,,,,,,,1,1
I265S EXIT 34,,,,,,,,,1,1
I265S EXIT 4.6,,,,,,,1,,,1
I265S EXIT 6,,,,,,,,1,,1
I64 / GRINSTEAD DR,1,,,,,,,,,1
I64 E EXIT8 ON RAMP FROM GRINSTEAD DR N,,,,,,,,1,,1
I64E / 2ND ST,,,,,,,,,1,1
I64E / BLANKENBAKER PKY S,1,,,,,,,,,1
I64E / GILLILAND RD,1,,,,,,,,,1
I64E / HURSTBOURNE PKY EAST SIDE IN JTN,,,,,,1,,,,1
I64E / LEXINGTON RD,1,,,,,,,,,1
I64E / PEE WEE REESE RD,,,,,,,1,,,1
I64E / S BECKLEY STATION RD,1,,,,,,,,,1
I64E EXIT 14,,,,,,,1,,,1
I64E EXIT 19,,,,,,,,,1,1
I64E EXIT 20,,,,,,,,,1,1
I64E EXIT 22.6,,,,,,,,,1,1
I64E EXIT 4.2,,,,,,,,1,,1
I64E EXIT 5.8,,,,,1,,,,,1
I64E EXIT 6,,,,,,,,,1,1
I64E EXIT 6.4,,,,,,,1,,,1
I64E EXIT 8,,,,,,1,,,,1
I64W / 2ND ST,1,,,,,,,,,1
I64W / CLARK MEMORIAL BRIDGE,1,,,,,,,,,1
I64W / COUNTY LINE,1,,,,,,,,,1
I64W / LANNAN PARK RD,,,,,,,,1,,1
I64W / LEXINGTON RD,,1,,,,,,,,1
I64W / N 9TH ST,,,,,,1,,,,1
I64W / PAYNE ST,,1,,,,,,,,1
I64W / TUCKER STATION RD,1,,,,,,,,,1
I64W EXIT 10,,,,,,,,,1,1
I64W EXIT 12,,,,,,,,1,,1
I64W EXIT 14.2,,,,,,,1,,,1
I64W EXIT 16,,,,,1,,,,,1
I64W EXIT 19,,,,,1,,,,,1
I64W EXIT 22,,,,,,,,,1,1
I64W EXIT 4.2,,,,1,,,,,,1
I65 / FAIRGROUNDS,,,,,,,,,1,1
I65 N EXIT125 ON RAMP,,,,1,,,,,,1
I65 S,,,,,,,,1,,1
I65 S EXIT125 OFF RAMP / I-265,,,,,,,,1,,1
I65/BARDSTOWN RD,,,,,,,,1,,1
I65N / BRADLEY AVE,1,,,,,,,,,1
I65N / E BRANDEIS AVE,1,,,,,,,,,1
I65N / E BRECKINRIDGE ST,,,,,,,,1,,1
I65N / E JEFFERSON ST,1,,,,,,,,,1
I65N / E KENTUCKY ST,1,,,,,,,,,1
I65N / I64,,,1,,,,,,,1
I65N EXIT 123.6,,,,,1,,,,,1
I65N EXIT 124,,,,,,,,,1,1
I65N EXIT 126,,,,,,,,1,,1
I65N EXIT 132,,,,,,,,1,,1
I65N EXIT 136,,,,,1,,,,,1
I65S / AIRPORT,,,,1,,,,,,1
I65S / ALI,1,,,,,,,,,1
I65S / E BROADWAY,,,,1,,,,,,1
I65S / E CHESTNUT ST,1,,,,,,,,,1
I65S / E JEFFERSON ST,,,1,,,,,,,1
I65S / E MUHAMMAD ALI BLVD,1,,,,,,,,,1
I65S / E OAK ST,1,,,,,,,,,1
I65S / FAIRDALE EXIT,,,,,,,,1,,1
I65S / LINCOLN BRIDGE,,,,,,,,1,,1
I65S / OUTER LOOP E,,,1,,,,,,,1
I65S / OUTER LOOP W,,,,,,,1,,,1
I65S / PHILLIPS LN,,,,,,,,1,,1
I65S / S PRESTON ST,,1,,,,,,,,1
I65S EXIT 123.2,,,,1,,,,,,1
I65S EXIT 133,,,,,,,,,1,1
I65S EXIT 134,,,,,,,1,,,1
I71 N EXIT2 ON RAMP FROM ZORN AVE,,,,,,,1,,,1
I71N / BARBOUR LN,,,1,,,,,,,1
I71N / BLANKENBAKER LN,1,,,,,,,,,1
I71N / INDIAN HILLS TRL,1,,,,,,,,,1
I71N / MOCKINGBIRD VALLEY RD,,,1,,,,,,,1
I71N / SPRINGDALE RD,,,,,,,,1,,1
I71N / U S HIGHWAY 42,,1,,,,,,,,1
I71N / ZORN AVE N,1,,,,,,,,,1
I71N / ZORN AVE S,1,,,,,,,,,1
I71N EXIT 9,,,,,1,,,,,1
I71S / POPLAR HILL CT,,,,1,,,,,,1
I71S / U S HIGHWAY 42,,1,,,,,,,,1
I71S / ZORN AVE S,,,,,,,,,1,1
I71S EXIT 1,,,,,,,1,,,1
I71S EXIT 7,,,,,,,1,,,1
I71S EXIT 9,,,,,,,,1,,1
ILEX AVE / BONITA LN,1,,,,,,,,,1
ILEX AVE / CEDRUS CIR,1,,,,,,,,,1
ILLINOIS AVE,1,,,,,,,,,1
ILLINOIS AVE / NIGHTINGALE RD,,1,,,,,,,,1
IN PARK HILL NEAR BUILDING 2,,,,,,,,1,,1
INCA DR / JOHNSONTOWN RD,1,,,,,,,,,1
INDEPENDENCE CV / SAM DR,1,,,,,,,,,1
INDIANA AVE / MONROE AVE,,1,,,,,,,,1
INGLE AVE / CANNONS LN,,1,,,,,,,,1
INGLE AVE / MCCREADY AVE,1,,,,,,,,,1
INNWOOD DR / PEGGY AVE,1,,,,,,,,,1
INSPIRATION WAY / LANDIS LAKES DR,,1,,,,,,,,1
INTERCHANGE DR / SOUTHPOINT DR,,,,,,,1,,,1
INVICTA DR / LESABRE DR,,1,,,,,,,,1
IOLA RD / NANZ AVE,,,1,,,,,,,1
IOLA RD / ST GERMAINE CT,,,,1,,,,,,1
IOLA RD / WINCHESTER RD,,,,1,,,,,,1
IOWA AVE / FINN AVE,1,,,,,,,,,1
IRELAND DR / MINOR LN,,1,,,,,,,,1
IRONGATE FARM RD / TURKEY RUN PKY,,,,,,,,,1,1
IROQUOIS GARDENS DR / PARK RD,,,1,,,,,,,1
IROQUOIS PKY / NORWAY DR,,,1,,,,,,,1
IRVIN PINES DR / TIMBERBEND DR,1,,,,,,,,,1
IVORY CT / PINECROFT DR,,1,,,,,,,,1
IVY OAKS CT / MALLET HILL DR,,,,1,,,,,,1
JAEGER AVE / QUADRANT AVE,1,,,,,,,,,1
JAMES PIRTLE CT / PRESIDENTS BLVD,,,1,,,,,,,1
JEANINE DR / SERENE WAY,,,,,,,,,1,1
JEFFERSON AVE / WILSON AVE,1,,,,,,,,,1
JEFFERSON TRACE BLVD / SHAFFER LN,,,,1,,,,,,1
JENLEE LN / PENHURST DR,,,1,,,,,,,1
JENNINGS LN / E INDIAN TRL,,1,,,,,,,,1
JESSICA ALLEN DR / JO DANIELLE PL,,,,1,,,,,,1
JEWELL AVE / N LONGWORTH AVE,,,1,,,,,,,1
JOHN ADAMS WAY / SNOWDEN WAY,1,,,,,,,,,1
JOHNSON SCHOOL RD / SMITH LN,1,,,,,,,,,1
JOHNSONTOWN RD / CHENAULT,,,,,,,,,1,1
JOHNSONTOWN RD / GREENBELT HWY,,1,,,,,,,,1
JOHNSONTOWN RD / JOHNSONTOWN WAY,,,1,,,,,,,1
JOHNSONTOWN RD / STONESTREET RD,,,1,,,,,,,1
JOHNSONTOWN WAY / MEIHAUS WAY,,,,1,,,,,,1
JOHNSTON WAY / SOMBER WAY,1,,,,,,,,,1
JOY LOVENE DR / LEWISTON DR,,,1,,,,,,,1
JOYCE DR / MICHAEL RAY DR,,1,,,,,,,,1
JUDGE BLVD,1,,,,,,,,,1
JULIE KAYS WAY/ TERRY RD,1,,,,,,,,,1
JUPITER RD / KLONDIKE LN,,,,,,,,,1,1
K&I BRIDGE,,,,,1,,,,,1
KAHLERT AVE / SEELBACH AVE,,1,,,,,,,,1
KANE CT / PALATKA RD,,,,1,,,,,,1
KATHERINE STATION RD / DIXIE HWY,1,,,,,,,,,1
KATY BELLE CT / NELLIE BLY DR,,,,,,,,,1,1
KAY ALEXANDER DR / OLD BLUEGRASS AVE,,,,,,,,1,,1
KEEWOOD CT / STANNYE DR,,,,1,,,,,,1
KEMMONS DR / BISHOP LN,,1,,,,,,,,1
KENILWORTH RD / BROWNSBORO RD,,,1,,,,,,,1
KENNERSLEY DR / PROVINCETOWN PL,,,,1,,,,,,1
KENWOOD CT / E KENWOOD WAY,,,,,,,,,1,1
KESSLER AVE / W MANSLICK RD,,,1,,,,,,,1
KESWICK BLVD / MINOMA AVE,,1,,,,,,,,1
KEYS FERRY RD / JEFFERSON HILL RD,,,1,,,,,,,1
KEYS FERRY RD / LARLYN DR,1,,,,,,,,,1
KFEC GATE6 DR / I65,,,,,,1,,,,1
KIAWAH CT,,,,,,,,,1,1
KILMORY AVE / MACALESTER DR,1,,,,,,,,,1
KING OF ARMS,1,,,,,,,,,1
KINGS HWY / FURMAN BLVD,,1,,,,,,,,1
KINGSMORE DR / OLD PRESTON HWY,,,1,,,,,,,1
KINGSWOOD WAY / VERNA RD,,,,,,,,,1,1
KIRBY AVE / ROSEWELL AVE,,,1,,,,,,,1
KIRKHAM RD / BRIERLY HILL CT,1,,,,,,,,,1
KLONDIKE LN / EXPLORER DR,,1,,,,,,,,1
KLONDIKE LN / HIKES LN,1,,,,,,,,,1
KLONDIKE LN / VOGUE AVE,,,,1,,,,,,1
KLONDIKE LN PEE WEE PARK,1,,,,,,,,,1
KLONWAY DR,1,,,,,,,,,1
KLONWAY DR / LAYSIDE DR,1,,,,,,,,,1
KNIGHT RD / SWAKO LN,,,,1,,,,,,1
KNIGHT RD / TRACY WAY,,1,,,,,,,,1
KRAGES AVE / PENDLETON RD,,,1,,,,,,,1
KRASHEY WAY / ORVILLE DR,,,,1,,,,,,1
KRAUSE DR / UPPER HUNTERS TRCE,,,1,,,,,,,1
KRIEGER ST / CHARLES ST,,1,,,,,,,,1
KRIEGER ST / ELLISON AVE,,1,,,,,,,,1
KRIEGER ST / GOSS AVE,,,1,,,,,,,1
KY 841 / KY-841 RAMP,,,,,,1,,,,1
KY-841 RAMP / U S HIGHWAY 42,,,,,,1,,,,1
KY0841 @ .8,,,,1,,,,,,1
KY0841 N / 0 MM,,,,,1,,,,,1
KY841 E,,,1,,,,,,,1
KY841 RAMP / KY1865,,,,,,,,,1,1
LA FONTENAY DR / MOSER RD,1,,,,,,,,,1
LA GRANGE RD / I265N,1,,,,,,,,,1
LA GRANGE RD / LILLY LN,,1,,,,,,,,1
LA GRANGE RD / LISBON AVE,,,,1,,,,,,1
LAGOONA DR / BALATON DR,1,,,,,,,,,1
LAKE FOREST DR / LAKE FOREST PKY,,1,,,,,,,,1
LAKE LOUISVILLA DR / SPRING DR,,,,1,,,,,,1
LAKERIDGE DR / WINDSOR FOREST DR,,1,,,,,,,,1
LAKESIDE DR / PAGE AVE,,,,1,,,,,,1
LAMBORNE BLVD / 3RD STREET RD,,,1,,,,,,,1
LAMPTON ST / S HANCOCK ST,1,,,,,,,,,1
LAMPTON ST / SIMON ALY,1,,,,,,,,,1
LANCE DR / REAR VIEW DR,,,1,,,,,,,1
LANCEWOOD RD / PRICE LANE RD,,,1,,,,,,,1
LANDSTAR DR / LONESTAR WAY,,,,,,,,,1,1
LANESBORO WAY / MEADOW VALE DR,,,,,,,,,1,1
LANGDON DR / TANGLEY LN,,,,1,,,,,,1
LANGDON DR / WEISSINGER RD,,,,1,,,,,,1
LANKFORD LN / MOUNT HOLLY RD,1,,,,,,,,,1
LANNAN PARK RD / I64,1,,,,,,,,,1
LARKWOOD AVE / AMY AVE,1,,,,,,,,,1
LARKWOOD AVE / CECIL AVE,,1,,,,,,,,1
LARKWOOD AVE / S 43RD ST,,,1,,,,,,,1
LAUDERDALE RD / SPRING DR,,1,,,,,,,,1
LAUGHLIN AVE / LYMAN AVE,,1,,,,,,,,1
LAUGHTON LN / SEATON SPRINGS PKY,,,1,,,,,,,1
LAWNSIDE DR / PALATKA RD,,1,,,,,,,,1
LAYNE RD / MONACO DR,,1,,,,,,,,1
LAYSIDE DR / SUDBURY LN,,,,,,,,,1,1
LEDGES DR / WOODED FALLS RD,,1,,,,,,,,1
LEDYARD RD / LYNDON WAY,,,1,,,,,,,1
LEE AVE / MCKAY AVE,1,,,,,,,,,1
LEE AVE / TAYLOR AVE,1,,,,,,,,,1
LEEMONT CT / LEEMONT DR,,,,1,,,,,,1
LEHIGH AVE / PEACHTREE AVE,,1,,,,,,,,1
LEICESTER CIR / SEATON SPRINGS PKY,,1,,,,,,,,1
LESTER AVE / PAUL AVE,,,1,,,,,,,1
LEWISTON DR / JOY LOVENE DR,,1,,,,,,,,1
LEXHAM RD / PETTY JAY RD,,,1,,,,,,,1
LEXINGTON PL / LEXINGTON RD,,,,1,,,,,,1
LEXINGTON RD / BARRET AVE,,1,,,,,,,,1
LEXINGTON RD / BAUER AVE,1,,,,,,,,,1
LEXINGTON RD / ETLEY AVE,,,,1,,,,,,1
LEXINGTON RD / FRANKFORT AVE,,,1,,,,,,,1
LEXINGTON RD / I64,,1,,,,,,,,1
LEXINGTON RD / I64E,1,,,,,,,,,1
LEXINGTON RD / LIEBERT AVE,,,1,,,,,,,1
LEXINGTON RD / MORNINGSIDE DR,1,,,,,,,,,1
LIBERTY BELL WAY / GEORGETOWN CIR,,1,,,,,,,,1
LIBERTY CT / WEST CT,,,,1,,,,,,1
LIKENS AVE / RALPH AVE,1,,,,,,,,,1
LIME KILN LN / ORCHARD RIDGE LN,1,,,,,,,,,1
LIME KILN LN / ORION RD,,,1,,,,,,,1
LIME KILN LN / REGAL RD,1,,,,,,,,,1
LIMEHOUSE LN / PARKSHIRE LN,1,,,,,,,,,1
LINCOLN AVE / COLORADO AVE,1,,,,,,,,,1
LINCOLN AVE / LEE AVE,,,1,,,,,,,1
LINCOLN AVE / SPENCER AVE,1,,,,,,,,,1
LINCOLN RD,1,,,,,,,,,1
LINDBERGH DR / ALGONQUIN PKY,,1,,,,,,,,1
LINDBERGH DR / CENTRAL AVE,,1,,,,,,,,1
LINDBERGH DR / WURTELE AVE,,,,,,,,,1,1
LINDELL AVE / DEL PARK TER,,1,,,,,,,,1
LINDELL AVE / W BROADWAY,1,,,,,,,,,1
LINN STATION RD / OXMOOR WOODS PKY,,1,,,,,,,,1
LINTON CT / URANUS DR,,,,,,,,,1,1
LITTLE SPRING BLVD / VISTA HILLS BLVD,,,,1,,,,,,1
LIVINGSTON AVE / N RUTLAND AVE,,1,,,,,,,,1
LOCUST LN / MERHOFF ST,,1,,,,,,,,1
LOCUST ST / N SPRING ST,1,,,,,,,,,1
LOGAN ST / CALDWELL ST,,,1,,,,,,,1
LOGAN ST / DANDRIDGE AVE,1,,,,,,,,,1
LOGAN ST / E KENTUCKY ST,,1,,,,,,,,1
LONDON DR / GAGEL AVE,,1,,,,,,,,1
LONG HOME RD / OLD BARDSTOWN RD,1,,,,,,,,,1
LONG RUN PARK RD/LONG RUN RD,,1,,,,,,,,1
LONG RUN RD / SYCAMORE RIDGE DR,1,,,,,,,,,1
LONGEST AVE / BARDSTOWN RD,1,,,,,,,,,1
LONGFIELD AVE/ WIZARD AVE,1,,,,,,,,,1
LONGLAKE CT / LONGLAKE DR,,,,1,,,,,,1
LONGVIEW FARM DR / ROCKVIEW WAY,,,,1,,,,,,1
LONGVIEW LN / RIVER RD,1,,,,,,,,,1
LOR ANN AVE / SETTLE BLVD,,,,1,,,,,,1
LOST TRL / ALPINE WAY,,1,,,,,,,,1
LOTUS AVE / TUBEROSE AVE,,,,1,,,,,,1
LOTUS AVE / VERA AVE,,,1,,,,,,,1
LOUDOUN TRCE / ACCOMACK DR,,,1,,,,,,,1
LOUIS COLEMAN JR DR / W JEFFERSON ST,,,1,,,,,,,1
LOUISVILLE LOOP EXIT 2.0,,,,,1,,,,,1
LOUISVILLE LOOP EXIT 2.5,,,,,,,1,,,1
LOWE RD / MCMAHAN BLVD,1,,,,,,,,,1
LOWER RIVER RD @ WATSON LN,,,1,,,,,,,1
LOWER RIVER RD / ASHBY LN,1,,,,,,,,,1
LOWER RIVER RD / GREENBELT HWY,1,,,,,,,,,1
LOWER RIVER RD / MOORMAN RIVER CT,,1,,,,,,,,1
LOWER RIVER RD / SCENIC TRL,1,,,,,,,,,1
LOWER RIVER RD/GREENBELT,,,,1,,,,,,1
LUNENBURG CT / LUNENBURG DR,,,1,,,,,,,1
LUNENBURG DR / OLDE SPRING RD,,,,1,,,,,,1
LURE LN / ROD N REEL RD,,,1,,,,,,,1
LYDIA ST / HICKORY ST,,1,,,,,,,,1
LYNDON WAY / SEARS AVE,,,1,,,,,,,1
LYNDON WAY / WESTPORT RD,1,,,,,,,,,1
LYNEVE DR / WOODDALE DR,1,,,,,,,,,1
LYNNBROOK DR / RIDGEVIEW AVE,1,,,,,,,,,1
LYNNCHESTER DR / MOORHAMPTON DR,1,,,,,,,,,1
LYNNCHESTER DR / MOORHAVEN DR,1,,,,,,,,,1
LYTLE ST / N 24TH ST,,1,,,,,,,,1
MAC BRAE RD / NEW WAY,,,,1,,,,,,1
MACKIE LN / MCBROOM DR,,,,1,,,,,,1
MACON AVE / WILMINGTON AVE,,,1,,,,,,,1
MADDIX LN / POPLAR LEVEL RD,,,,,,,,,1,1
MADRONE AVE,1,,,,,,,,,1
MAGAZINE ST / S 20TH ST,1,,,,,,,,,1
MAGAZINE ST / S 27TH ST,,,1,,,,,,,1
MAGAZINE ST / S 28TH ST,,1,,,,,,,,1
MAGAZINE ST / S 7TH ST,,1,,,,,,,,1
MAGISTERIAL DR / NELSON MILLER PKY,1,,,,,,,,,1
MAGNOLIA AVE / I65S,1,,,,,,,,,1
MAIN ST / MASON RD,,,,1,,,,,,1
MAIN ST / OLD SHELBYVILLE RD,,1,,,,,,,,1
MALIBU DR / MICHAEL RAY DR,,,,,,,,,1,1
MALL RD / MAYO DR,,,,1,,,,,,1
MALLARD CREEK RD / SHERBURN LN,1,,,,,,,,,1
MANCHESTER RD / SPENCER AVE,1,,,,,,,,,1
MANNER DALE DR / NEPPERHAN RD,1,,,,,,,,,1
MANOR HOUSE DR / TAYLORSVILLE RD,,,1,,,,,,,1
MANSLICK RD,,1,,,,,,,,1
MANSLICK RD / ALICE KAY DR,1,,,,,,,,,1
MANSLICK RD / IROQUOIS PKY,,,1,,,,,,,1
MANSLICK RD / WISERTOWN RD,,,,1,,,,,,1
MAPLECREEK DR / WILLOWCREEK DR,1,,,,,,,,,1
MARAVIAN DR / HUNTERS CHASE LN,,,1,,,,,,,1
MARCH BLVD / MANSLICK CT,1,,,,,,,,,1
MARCH BLVD / NICHOLS MEADOW CIR,,,,,,,,,1,1
MARGUERITE DR / MOUNT BLANC RD,,,,1,,,,,,1
MARGUERITE DR / MOUNT EVEREST DR,,,,1,,,,,,1
MARIGOLD AVE / LOTUS AVE,,1,,,,,,,,1
MARIGOLD AVE / ROSE DR,,1,,,,,,,,1
MARQUETTE DR,1,,,,,,,,,1
MARSEILLE DR / STONESTREET RD,,,,,,,,,1,1
MARSHALL DR / TAGGART DR,1,,,,,,,,,1
MARSHALL ST / ST BONIFACE PL,,,,1,,,,,,1
MARTHA AVE / MCMAHAN BLVD,,1,,,,,,,,1
MARTHA AVE / MELANIE WAY,,1,,,,,,,,1
MARY DELL LN,,,1,,,,,,,1
MARY DELL LN / SPRIGWOOD LN,,,,1,,,,,,1
MARY ROSE DR / WILKIE RD,1,,,,,,,,,1
MARY ST / LOGAN ST,,1,,,,,,,,1
MARYMAN RD / POINSETTIA DR,,1,,,,,,,,1
MASON AVE / WALTER AVE,1,,,,,,,,,1
MASONIC HOME DR / FRANKFORT AVE,1,,,,,,,,,1
MASONIC HOME DR / MOYERS CIR,,,,1,,,,,,1
MAYFORD WAY / STATTON RD,,1,,,,,,,,1
MAYLAWN AVE / MERHOFF ST,,,1,,,,,,,1
MAYNA DR,1,,,,,,,,,1
MCBROOM DR / MCBROOM CT,1,,,,,,,,,1
MCCLOSKEY AVE / W HILL ST,,1,,,,,,,,1
MCGEE DR / STERLING DR,,,1,,,,,,,1
MCNAIR RD / MANSLICK RD,1,,,,,,,,,1
MCNEELY LAKE DR / ROD N REEL RD,1,,,,,,,,,1
MEADOW RD / TREVILIAN WAY,,,,1,,,,,,1
MELISSA DR / TAMARISK PKY,1,,,,,,,,,1
MELLWOOD AVE / E MAIN ST,,1,,,,,,,,1
MELON CT / MILE OF SUNSHINE DR,1,,,,,,,,,1
MERCER AVE / REID AVE,,,1,,,,,,,1
MERIDIAN AVE / SHELBYVILLE RD,1,,,,,,,,,1
MERRIBROOK LN / TRUSCOTT CT,1,,,,,,,,,1
MIAMI AVE / N 42ND ST,,,1,,,,,,,1
MICHAEL EDWARD DR / IDLEWOOD LN,1,,,,,,,,,1
MICHAEL RAY DR / SMYRNA PKY,,,,1,,,,,,1
MID DALE LN / KLONDIKE LN,,,1,,,,,,,1
MIDLAND AVE / CHEROKEE RD,,1,,,,,,,,1
MIDNIGHT LN / MAIDEN CT,,1,,,,,,,,1
MIDWAY AVE / GARLAND AVE,1,,,,,,,,,1
MILBARB LN / TRUBART LN,,,,,,,,,1,1
MILES AVE / STEEDLY DR,,1,,,,,,,,1
MILITARY AVE / RILEY AVE,,,,1,,,,,,1
MILLERS LN / SCRIM AVE,,,,1,,,,,,1
MILLVALE RD / PARK BOUNDARY RD,1,,,,,,,,,1
