NIBRS_Offense_Code,NIBRS_Crime_Against,NIBRS_Offense_Category,NIBRS_Offense_Type,incident_category,incident_description
23F,Crimes against property,Larceny/Theft Offenses,23F Theft From Motor Vehicle (except Theft of Motor Vehicle Parts or Accessories),LARCENY/THEFT,ATTEMPTED THEFT FROM UNLOCKED VEHICLE
23H,Crimes against property,Larceny/Theft Offenses,23H All Other Larceny,LARCENY/THEFT,ATTEMPTED THEFT OF A BICYCLE
23E,Crimes against property,Larceny/Theft Offenses,23E Theft From Coin-Operated Machine or Device,LARCENY/THEFT,ATTEMPTED THEFT PHONE BOOTH
250,Crimes against property,Counterfeiting/Forgery,250 Counterfeiting/Forgery,FRAUD,"AUDIOVISUAL (VIDEO OR SOUND) RECORDINGS, UNAUTHORIZED"
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,NON-CRIMINAL,AUTO IMPOUNDED
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,,AUTO IMPOUNDED
240,Crimes against property,Motor Vehicle Theft,240 Motor Vehicle Theft,MOTOR VEHICLE THEFT,"AUTO, GRAND THEFT OF"
240,Crimes against property,Motor Vehicle Theft,240 Motor Vehicle Theft,VEHICLE THEFT,"AUTO, GRAND THEFT OF"
290,Crimes against property,Destruction/Damage/Vandalism of Property (except Arson),290 Destruction/Damage/Vandalism of Property (except Arson),VANDALISM,"BALLOONS, ELECTRICALLY CONDUCTIVE"
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,DRUG OFFENSE,BARBITURATES OFFENSE
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,DRUG OFFENSE,"BARBITURATES, POSSESSION"
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,DRUG OFFENSE,"BARBITURATES, POSSESSION FOR SALE"
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,DRUG OFFENSE,"BARBITURATES, TRANSPORTATION"
90H,Crimes against society,Peeping Tom,90H Peeping Tom,OTHER OFFENSES,"BATHROOM HOLE, LOOKING THROUGH"
90H,Crimes against society,Peeping Tom,90H Peeping Tom,SEX OFFENSE,"BATHROOM HOLE, LOOKING THROUGH"
13B,Crimes against person,Assault Offenses,13B Simple Assault,ASSAULT,BATTERY
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,SECONDARY CODES,BATTERY BY JUVENILE SUSPECT
13B,Crimes against person,Assault Offenses,13B Simple Assault,ASSAULT,BATTERY DURING LABOR DISPUTE
13B,Crimes against person,Assault Offenses,13B Simple Assault,ASSAULT,BATTERY OF A POLICE OFFICER
