NIBRS_Offense_Code,Summarized Offense Description,Offense Type,NIBRS_Offense_Type,NIBRS_Offense_Category,NIBRS_Crime_Against
240,VEHICLE THEFT,VEH-THEFT-AUTO,240 Motor Vehicle Theft,Motor Vehicle Theft,Crimes against property
240,VEHICLE THEFT,VEH-THEFT-BUS,240 Motor Vehicle Theft,Motor Vehicle Theft,Crimes against property
240,VEHICLE THEFT,VEH-THEFT-HVYEQUIP,240 Motor Vehicle Theft,Motor Vehicle Theft,Crimes against property
240,VEHICLE THEFT,VEH-THEFT-MTRCYCLE,240 Motor Vehicle Theft,Motor Vehicle Theft,Crimes against property
240,VEHICLE THEFT,VEH-THEFT-OTHVEH,240 Motor Vehicle Theft,Motor Vehicle Theft,Crimes against property
240,VEHICLE THEFT,VEH-THEFT-RECREATION VEH,240 Motor Vehicle Theft,Motor Vehicle Theft,Crimes against property
240,VEHICLE THEFT,VEH-THEFT-TRAILER,240 Motor Vehicle Theft,Motor Vehicle Theft,Crimes against property
240,VEHICLE THEFT,VEH-THEFT-TRUCK,240 Motor Vehicle Theft,Motor Vehicle Theft,Crimes against property
99Z,VIOLATION OF COURT ORDER,VIOL-COURT ORDER,99Z Non-Criminal Matters,Excluded cases,Excluded cases
99Z,WARRANT ARREST,WARRANT-FUGITIVE,99Z Non-Criminal Matters,Excluded cases,Excluded cases
99Z,WARRANT ARREST,WARRARR-FELONY,99Z Non-Criminal Matters,Excluded cases,Excluded cases
99Z,WARRANT ARREST,WARRARR-MISDEMEANOR,99Z Non-Criminal Matters,Excluded cases,Excluded cases
520,WEAPON,WEAPON-CONCEALED,520 Weapon Law Violations,Weapon Law Violations,Crimes against society
520,WEAPON,WEAPON-DISCHARGE,520 Weapon Law Violations,Weapon Law Violations,Crimes against society
520,WEAPON,WEAPON-POSSESSION,520 Weapon Law Violations,Weapon Law Violations,Crimes against society
520,WEAPON,WEAPON-SELLING,520 Weapon Law Violations,Weapon Law Violations,Crimes against society
520,WEAPON,WEAPON-SURRENDER-EXCLUDING FIR,520 Weapon Law Violations,Weapon Law Violations,Crimes against society
520,WEAPON,WEAPON-UNLAWFUL USE,520 Weapon Law Violations,Weapon Law Violations,Crimes against society
99X,NA,NA,99X Non-Categorisable Offenses,Excluded cases,Excluded cases
